ID,Lifestage,Description,Activity_stages,no_days,source_no_days,bpm,se_bpm,source_bpm,age_yrs,age_yrs_min,age_yrs_max,pct_O2,pct_O2_sd
1,Calf,Lagoon 0-1 mths (Jan),calving grounds,31,Sumich (1986); Findley & Vidal (2002); Pike 1962,2.14,0.5,Sumich (1986) as cited in Villegas-Amtmann et al. 2017,0.084931507,0.00001,0.084931507,10.5,3
2,Calf,Lagoon 2 mth (Feb),calving grounds,28,Sumich (1986); Findley & Vidal (2002); Pike 1962,1.56,0.4,Sumich (1986) as cited in Villegas-Amtmann et al. 2017,0.161643836,0.084931507,0.161643836,10.5,3
3,Calf,Lagoon 3 mths (Mar),calving grounds,15,Sumich (1986); Findley & Vidal (2002); Rice and Wolman 1971,1.39,0.3,Sumich (1986) as cited in Villegas-Amtmann et al. 2017,0.246575342,0.161643836,0.246575342,10.5,3
4,Calf,Northbound 3 mths (Mar),northbound,16,Rodriguez de la Gala Hernandez 2008; Perryman et al. 2010; Poole 1984; Rice and Wolman 1971; Leatherwood 1974,0.7,0.1,Rodriguez de la Gala-Hernandez et al. (2008),0.246575342,0.161643836,0.246575342,10.5,3
5,Calf,Northbound 4 mths (Apr),northbound,30,Poole (1984); Rodriguez de la Gala Hernandez et al. 2008; Perryman et al. 2010; Leatherwood 1974,0.7,0.1,Rodriguez de la Gala-Hernandez et al. (2008),0.328767123,0.246575342,0.328767123,10.5,3
6,Calf,Northbound 5 mths (May),northbound,31,"Braham (1984), Poole (1984); Rodriguez de la Gala Hernandez et al. 2008; Perryman et al. 2010; Rice and Wolman 1971; Leatherwood 1974",0.7,0.1,Rodriguez de la Gala-Hernandez et al. (2008),0.41369863,0.328767123,0.41369863,10.5,3
7,Calf,Northbound 6 mths (June),northbound,23,Hessing (1981) as cited in Braham (1984); ,0.7,0.1,Rodriguez de la Gala-Hernandez et al. (2008),0.495890411,0.41369863,0.495890411,11,2.7
8,Calf,Nursing at Foraging grounds 6 mths (June),nursing at foraging grounds,7,Synchenko (2011); Bradford et al. 2012,1.22,0.3,Sychenko (2011),0.495890411,0.41369863,0.495890411,11,2.7
9,Calf,Nursing at Foraging grounds 7 mths (July),nursing at foraging grounds,31,"Mom/calf observations: Sychenko (2011), Bradford et al 2012; Weller et al. 2003",1.22,0.3,Sychenko (2011),0.580821918,0.495890411,0.580821918,11,2.7
10,Calf,Nursing at foraging grounds 8 mths (Aug),nursing at foraging grounds,31,"Mom/calf observations: Sychenko (2011), Bradford et al 2012; Weller et al. 2003",1.22,0.3,Sychenko (2011),0.665753425,0.580821918,0.665753425,11,2.7
11,Calf,Nursing at foraging grounds (Sep),nursing at foraging grounds,30,"Mom/calf observations: Sychenko (2011), Bradford et al 2012; Weller et al. 2003",1.22,0.3,Sychenko (2011),0.747945205,0.665753425,0.747945205,11,2.7
12,Calf,nursing at foraging grounds (Oct),nursing at foraging grounds,20,"for approx date of weaning (~9.6 mths): Agbayani et al. 2020, Weller et al. 2009",1.22,0.3,Sychenko (2011),0.832876712,0.747945205,0.832876712,11,2.7
13,Calf,Southbound post-weaning (Oct),southbound post-weaning,11,"Rugh et al. (2001), Braham (1984)",0.72,0.2,"Sumich (1983); Schwarz (2002), as cited in Villegas-Amtmann 2017",0.832876712,0.747945205,0.915068493,11,2.7
14,Calf,Southbound post-weaning (Nov),southbound post-weaning,30,"Sumich (1986), Rugh et al. (2001),",0.72,0.2,"Sumich (1983); Schwarz (2002), as cited in Villegas-Amtmann 2017",0.915068493,0.832876712,1,11,2.7
15,Calf,Southbound post-weaning (Dec),southbound post-weaning,31,"Sumich (1986), Rugh et al. (2001), Laake et al. (2012)",0.72,0.2,"Sumich (1983); Schwarz (2002), as cited in Villegas-Amtmann 2017",1,0.915068493,1,11,2.7
16,Pregnant,Southbound newly pregnant (Dec),Southbound recently pregnant,31,Rice 1983; Rice and Wolman 1971,0.72,0.2,"Sumich (1983); Schwarz (2002), as cited in Villegas-Amtmann 2017",,8,75,11,2.7
17,Pregnant,Lagoon breeding (Jan),calving grounds recently pregnant,31,Rice 1983,0.62,0.2,"Harvey & Mate (1984), as cited in Villegas-Amtmann et al. 2017",,8,75,11,2.7
18,Pregnant,Lagoon breeding (Feb),calving grounds recently pregnant,20,Rice 1983,0.62,0.2,"Harvey & Mate (1984), as cited in Villegas-Amtmann et al. 2017",,8,75,11,2.7
