age_yrs,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday
8,Lactating,365,272506.23115675634,48414.907740492454,746.5924141280996,132.64358285066425
9,Lactating,365,288616.0797585705,51155.3007915737,790.7289856399191,140.15150901801016
10,Lactating,365,302539.5542966707,53508.45417942424,828.8754912237554,146.5985046011623
11,Lactating,365,314454.6370988729,55471.573922300384,861.5195536955422,151.97691485561748
12,Lactating,365,324639.4873070567,57141.824591388926,889.4232528960458,156.55294408599707
13,Lactating,365,333301.7237122041,58549.33489443998,913.1554074306961,160.40913669709582
14,Lactating,365,340667.91460270376,59756.30306466025,933.3367523361746,163.71589880728834
15,Lactating,365,346912.12785513414,60785.97025789534,950.4441859044771,166.5369048161516
16,Lactating,365,352215.9958404763,61686.16334916838,964.9753310697981,169.00318725799556
17,Lactating,365,356703.8638691702,62461.928217171546,977.2708599155347,171.12857045800425
18,Lactating,365,360504.37371911167,63138.59986755669,987.6832156687991,172.98246539056626
19,Lactating,365,363731.99189373007,63741.38523299139,996.5260051883016,174.6339321451819
20,Lactating,365,366452.13818971615,64257.73773444791,1003.9784607937429,176.048596532734
21,Lactating,365,368752.81526350597,64710.191938610704,1010.2816856534411,177.28819709208412
22,Lactating,365,370691.0990557436,65099.398177354225,1015.5920522075168,178.35451555439514
23,Lactating,365,372330.2178067238,65441.25762343614,1020.0827885115721,179.29111677653736
24,Lactating,365,373709.75292432087,65734.7669593205,1023.8623367789613,180.09525194334384
25,Lactating,365,374864.8538285757,65980.86806990967,1027.0269967906183,180.76950156139637
26,Lactating,365,375846.8649330412,66202.91018935372,1029.7174381727157,181.37783613521566
27,Lactating,365,376666.6217756318,66386.92454749042,1031.963347330498,181.88198506161757
28,Lactating,365,377357.66276535223,66546.54385824289,1033.8566103160335,182.31929824176135
29,Lactating,365,377938.0523019356,66682.73107871915,1035.44671863544,182.69241391429904
30,Lactating,365,378421.7091091031,66795.01091660226,1036.7718057783645,183.00002990849933
31,Lactating,365,378835.4216807317,66898.69607964953,1037.905264878717,183.28409884835486
32,Lactating,365,379177.413288259,66981.45236046577,1038.842228187011,183.51082838483774
33,Lactating,365,379466.456005626,67054.00254447719,1039.634126042811,183.70959601226627
34,Lactating,365,379708.9639423303,67115.66108347496,1040.29853134885,183.87852351636974
35,Lactating,365,379912.73198244406,67168.37790251212,1040.8567999519016,184.02295315756746
36,Lactating,365,380082.7058415933,67212.14820965352,1041.32248175779,184.14287180726993
37,Lactating,365,380225.2623954272,67249.29724749288,1041.7130476587047,184.2446499931312
38,Lactating,365,380344.99895774404,67281.00629260509,1042.041093034915,184.331524089329
39,Lactating,365,380445.9608018577,67308.47317460719,1042.3177008270075,184.40677582084163
40,Lactating,365,380530.2843183875,67331.40547187859,1042.5487241599658,184.46960403254408
41,Lactating,365,380600.9343307153,67350.78472048252,1042.742285837576,184.52269786433567
42,Lactating,365,380660.27785545803,67367.31638544556,1042.9048708368714,184.56799009711114
43,Lactating,365,380710.37243561656,67381.67289689295,1043.0421162619632,184.60732300518617
44,Lactating,365,380751.5876569163,67393.01339846243,1043.155034676483,184.6383928724998
45,Lactating,365,380787.17836794833,67403.69770441846,1043.252543473831,184.6676649436122
46,Lactating,365,380816.16505655996,67411.85270845567,1043.3319590590684,184.6900074204265
47,Lactating,365,380840.96149397717,67419.27323031277,1043.399894504047,184.71033761729527
48,Lactating,365,380861.74747688445,67425.54957877647,1043.4568424024233,184.72753309253827
49,Lactating,365,380878.9628634082,67430.64063616392,1043.504007844954,184.74148119496965
50,Lactating,365,380893.7214448771,67435.28791342975,1043.5444423147317,184.75421346145137
51,Lactating,365,380905.82208028564,67438.9346416552,1043.5775947405086,184.76420449768548
52,Lactating,365,380916.02486926,67442.08052838777,1043.6055475870137,184.77282336544596
53,Lactating,365,380924.71624835033,67444.88471168958,1043.6293595845214,184.7805060594235
54,Lactating,365,380931.8791100456,67447.12681208366,1043.6489838631387,184.78664880022922
55,Lactating,365,380937.7974181232,67448.93279502644,1043.6651984058171,184.7915966987026
56,Lactating,365,380942.9761135789,67450.68621711855,1043.679386612545,184.79640059484535
57,Lactating,365,380947.2280746436,67452.07452278139,1043.6910358209414,184.80020417200382
58,Lactating,365,380950.7844718271,67453.23942480843,1043.7007793748687,184.80339568440667
59,Lactating,365,380953.755944637,67454.21359067726,1043.7089203962657,184.80606463199248
60,Lactating,365,380956.28619984636,67455.0776316396,1043.7158526023188,184.80843186750573
61,Lactating,365,380958.37257486384,67455.77134042379,1043.721568698257,184.81033243951723
62,Lactating,365,380960.1653437494,67456.40295515272,1043.726480393834,184.81206289082937
63,Lactating,365,380961.6545268774,67456.92203470577,1043.7305603476093,184.81348502659117
64,Lactating,365,380962.91882660904,67457.37692719963,1043.7340241824904,184.81473130739624
65,Lactating,365,380963.9465243027,67457.7275020603,1043.7368397926102,184.81569178646657
66,Lactating,365,380964.8210781448,67458.03717247571,1043.7392358305337,184.8165401985636
67,Lactating,365,380965.525017773,67458.26828213318,1043.7411644322547,184.81717337570734
68,Lactating,365,380966.17271103954,67458.523435473,1043.742938934355,184.81787242595345
69,Lactating,365,380966.6966243849,67458.71883136065,1043.7443743133833,184.81840775715244
70,Lactating,365,380967.1204601883,67458.8677509695,1043.7455355073653,184.81881575608082
71,Lactating,365,380967.4859512935,67459.00409031351,1043.746536852859,184.81918928853017
