age_yrs,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday
8,Pregnant,396,354878.59153869236,64154.41436497231,896.1580594411423,162.00609688124322
9,Pregnant,396,375856.01227234304,67745.87307854056,949.1313441220784,171.07543706702162
10,Pregnant,396,393986.1856678645,70824.46858053234,994.9146102723852,178.84966813265743
11,Pregnant,396,409500.3086367641,73375.16329295175,1034.091688476677,185.29081639634282
12,Pregnant,396,422761.43292080297,75542.41125190056,1067.5793760626339,190.76366477752666
13,Pregnant,396,434039.821605316,77363.94507990834,1096.0601555689798,195.3634976765362
14,Pregnant,396,443630.90516626573,78929.5143831042,1120.280063551176,199.31695551288936
15,Pregnant,396,451761.2383423879,80267.41942299831,1140.811207935323,202.6955035934301
16,Pregnant,396,458667.6239452079,81446.26190961695,1158.251575619212,205.67237855963876
17,Pregnant,396,464511.7029497487,82467.06827928835,1173.0093508832038,208.2501724224453
18,Pregnant,396,469461.0451689691,83364.2430357276,1185.507689820629,210.51576524173637
19,Pregnant,396,473664.800893178,84172.8064466183,1196.1232345787323,212.55759203691488
20,Pregnant,396,477207.75103562314,84868.0643146579,1205.0700783727857,214.31329372388356
21,Pregnant,396,480204.61730661883,85482.17067086807,1212.6379224914617,215.86406735067695
22,Pregnant,396,482729.5660508402,86012.82435955454,1219.01405568394,217.204101918067
23,Pregnant,396,484865.0176342988,86482.64510093784,1224.4066101876233,218.3905179316612
24,Pregnant,396,486662.38078651763,86887.6345371366,1228.9454060265598,219.41321852812274
25,Pregnant,396,488167.3394557087,87227.28867266307,1232.745806706335,220.2709309915734
26,Pregnant,396,489447.0009755323,87537.26158504403,1235.977275190738,221.0536908713233
27,Pregnant,396,490515.2053152793,87793.78559127443,1238.67476089717,221.7014787658445
28,Pregnant,396,491415.75966803776,88017.46774673466,1240.9488880506003,222.2663326937744
29,Pregnant,396,492172.1506861681,88208.84456491638,1242.8589663792125,222.74960748716256
30,Pregnant,396,492802.45431068284,88366.31733716362,1244.4506421986941,223.14726600293844
31,Pregnant,396,493341.73622016516,88513.65839513729,1245.8124652024374,223.51933938165982
32,Pregnant,396,493787.4781705323,88630.5640642038,1246.938076188213,223.81455571768637
33,Pregnant,396,494164.252323225,88733.67896490234,1247.88952606875,224.07494688106652
34,Pregnant,396,494480.3806094672,88821.49465472542,1248.687829821887,224.29670367354905
35,Pregnant,396,494746.02375914826,88896.78192818211,1249.358645856435,224.48682305096494
36,Pregnant,396,494967.6074691518,88959.2447543313,1249.9182006796761,224.6445574604326
37,Pregnant,396,495153.4564800532,89012.35710875216,1250.3875163637706,224.77867956755594
38,Pregnant,396,495309.5639722849,89057.80454531053,1250.7817272027396,224.89344582149124
39,Pregnant,396,495441.20615995914,89097.33204606458,1251.1141569695938,224.99326274258732
40,Pregnant,396,495551.1538052091,89130.33158747929,1251.3918025384069,225.076594917877
41,Pregnant,396,495643.2756612679,89158.25345015568,1251.6244334880503,225.14710467211032
42,Pregnant,396,495720.6590831098,89182.1261834885,1251.8198461694692,225.20738935224367
43,Pregnant,396,495785.988776353,89202.94169814419,1251.9848201423056,225.2599537831924
44,Pregnant,396,495839.73065016564,89219.28821950423,1252.1205319448627,225.30123287753594
45,Pregnant,396,495886.1536770913,89234.87772633064,1252.2377618108367,225.34060031901677
46,Pregnant,396,495923.9534070633,89246.67040168804,1252.3332156744023,225.37037980224252
47,Pregnant,396,495956.29643714055,89257.49302429908,1252.414889992779,225.39770965732092
48,Pregnant,396,495983.409413125,89266.65775922968,1252.483357103851,225.42085292734768
49,Pregnant,396,496005.8631275754,89274.07100267634,1252.540058402968,225.43957323908168
50,Pregnant,396,496025.11727677565,89280.89377011318,1252.5886799918578,225.45680244978075
51,Pregnant,396,496040.90107244696,89286.21729622541,1252.6285380617348,225.47024569753893
52,Pregnant,396,496054.21056710294,89290.82343294314,1252.6621478967245,225.48187735591702
53,Pregnant,396,496065.5505446051,89294.95275140478,1252.6907842035482,225.49230492778986
54,Pregnant,396,496074.8950360513,89298.24190817022,1252.71438140417,225.50061087921773
55,Pregnant,396,496082.61512325413,89300.88260629372,1252.733876573874,225.50727930882252
56,Pregnant,396,496089.37336850906,89303.47952353755,1252.7509428497704,225.51383718065037
57,Pregnant,396,496094.92134508333,89305.5268393016,1252.7649528916245,225.51900716995354
58,Pregnant,396,496099.56180984026,89307.24536389636,1252.7766712369703,225.52334687852618
59,Pregnant,396,496103.4390669958,89308.68265533996,1252.7864622903935,225.52697640237363
60,Pregnant,396,496106.7411977606,89309.96360550978,1252.794801004446,225.5302111250247
61,Pregnant,396,496109.46372051974,89310.98883380357,1252.8016760619184,225.53280008536254
62,Pregnant,396,496111.8037181478,89311.9285221572,1252.807585146838,225.53517303575052
63,Pregnant,396,496113.74736810883,89312.69986214022,1252.8124933538102,225.53712086399045
64,Pregnant,396,496115.3977461503,89313.37819609587,1252.816660975127,225.53883382852493
65,Pregnant,396,496116.73894536076,89313.89786273564,1252.82004784182,225.5401461180193
66,Pregnant,396,496117.880476317,89314.35883280594,1252.8229304957501,225.5413101838534
67,Pregnant,396,496118.7990011322,89314.69987079613,1252.825250002859,225.5421713908993
68,Pregnant,396,496119.6448554831,89315.08393693402,1252.8273859986946,225.5431412548839
69,Pregnant,396,496120.32887289044,89315.37642680008,1252.8291133153798,225.54387986565678
70,Pregnant,396,496120.88207441225,89315.59791537058,1252.8305102889199,225.54443918022875
71,Pregnant,396,496121.3592573781,89315.80200721878,1252.8317152964094,225.54495456368377
72,Pregnant,396,496121.7542739471,89315.9680236702,1252.8327128129977,225.54537379714696
73,Pregnant,396,496122.0916680499,89316.11611025373,1252.8335648183079,225.54574775316598
74,Pregnant,396,496122.3654821051,89316.22973837127,1252.8342562679422,225.54603469285675
75,Pregnant,396,496122.61269805743,89316.34800007896,1252.83488055065,225.54633333353271
