age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday
1,Juvenile/Adult,365,all,75333.83867491885,12574.078796830718,206.3940785614215,34.449530950221146
1,Juvenile/Adult,365,Rs,74892.31399029063,94.3777309593621,205.1844218912072,0.2585691259160605
1,Juvenile/Adult,365,Vt,74891.03235999856,1157.5243775135682,205.18091057533852,3.1712996644207347
1,Juvenile/Adult,365,pctO2,74879.53192210717,11422.18335507835,205.149402526321,31.293653027611917
2,Juvenile/Adult,365,all,126708.44115896728,21536.94710939163,347.14641413415694,59.005334546278434
2,Juvenile/Adult,365,Rs,125804.05500124261,158.5356443659005,344.66864383902083,0.4343442311394535
2,Juvenile/Adult,365,Vt,125801.44309426998,2356.4758875909447,344.6614879295068,6.456098322166972
2,Juvenile/Adult,365,pctO2,125782.58369233113,19186.97535801669,344.60981833515376,52.56705577538819
3,Juvenile/Adult,365,all,156519.50973521388,25756.196669106026,428.82057461702436,70.5649223811124
3,Juvenile/Adult,365,Rs,155756.21160651956,196.28072696692664,426.7293468671769,0.5377554163477443
3,Juvenile/Adult,365,Vt,155753.98329714837,2015.40612302905,426.7232419099955,5.521660611038493
3,Juvenile/Adult,365,pctO2,155729.62828427088,23755.121358550845,426.65651584731745,65.08252427000231
4,Juvenile/Adult,365,all,185086.17838909494,30103.257864850944,507.08542024409576,82.4746790817834
4,Juvenile/Adult,365,Rs,184331.59423246133,232.2908277348319,505.018066390305,0.6364132266707724
4,Juvenile/Adult,365,Vt,184329.376747349,2009.5455492959593,505.0119910886274,5.505604244646464
4,Juvenile/Adult,365,pctO2,184300.13387451126,28113.289004930983,504.931873628798,77.02270960255063
5,Juvenile/Adult,365,all,211673.0344380064,34363.91767408076,579.9261217479627,94.14771965501578
5,Juvenile/Adult,365,Rs,210836.66981717746,265.69197078024763,577.6347118278835,0.7279232076171168
5,Juvenile/Adult,365,Vt,210834.2088621653,2231.109682127147,577.6279694853844,6.112629266101773
5,Juvenile/Adult,365,pctO2,210800.68576827325,32155.704268105885,577.5361253925295,88.09781991261886
6,Juvenile/Adult,365,all,235798.99676456343,38281.58921604492,646.0246486700368,104.88106634532855
6,Juvenile/Adult,365,Rs,234866.90405030834,295.97437040858483,643.4709700008448,0.8108886860509174
6,Juvenile/Adult,365,Vt,234864.16146976882,2486.417697790171,643.4634560815584,6.812103281616907
6,Juvenile/Adult,365,pctO2,234826.81869813192,35820.66969448978,643.3611471181696,98.13882108079392
7,Juvenile/Adult,365,all,257283.22596308516,41736.15530957633,704.885550583795,114.34563098514063
7,Juvenile/Adult,365,Rs,256280.18237422954,322.9589368204996,702.1374859567933,0.8848190049876702
7,Juvenile/Adult,365,Vt,256277.22932639415,2677.7378753448365,702.1293954147785,7.336268151629689
7,Juvenile/Adult,365,pctO2,256236.4423615281,39086.51071631829,702.0176503055565,107.08633072963916
8,Juvenile/Adult,365,all,276151.4449749246,44701.13660100422,756.5793013011634,122.46886740001156
8,Juvenile/Adult,365,Rs,275114.97303809295,346.6941469006749,753.7396521591588,0.9498469778100683
8,Juvenile/Adult,365,Vt,275111.9166180528,2772.996994515348,753.7312784056242,7.597252039768077
8,Juvenile/Adult,365,pctO2,275068.0184421364,41959.09430940979,753.6110094305108,114.95642276550628
9,Juvenile/Adult,365,all,292529.8329365376,47174.33989871937,801.4515970864045,129.2447668458065
9,Juvenile/Adult,365,Rs,291506.48104872205,367.3503831767492,798.64789328417,1.0064394059636963
9,Juvenile/Adult,365,Vt,291503.45374906505,2749.6706083059807,798.639599312507,7.533344132345153
9,Juvenile/Adult,365,pctO2,291456.7288709863,44459.04123304088,798.5115859479077,121.80559241929008
10,Juvenile/Adult,365,all,306686.34730409423,49289.42934640592,840.2365679564225,135.03953245590662
10,Juvenile/Adult,365,Rs,305683.8379969631,385.216392497137,837.4899671149675,1.055387376704485
10,Juvenile/Adult,365,Vt,305680.8626695446,2705.7954628874363,837.4818155329989,7.413138254486127
10,Juvenile/Adult,365,pctO2,305631.6661324329,46621.29743698456,837.3470304998161,127.72958201913579
11,Juvenile/Adult,365,all,318806.3347995423,51026.00366997176,873.442013149431,139.79727032868976
11,Juvenile/Adult,365,Rs,317852.8369645606,400.5515110081976,870.8296903138647,1.0974014000224592
11,Juvenile/Adult,365,Vt,317849.99404272425,2590.2013664864935,870.8219014869157,7.096442099962996
11,Juvenile/Adult,365,pctO2,317798.58818497404,48477.24940388035,870.6810635204769,132.8143819284393
12,Juvenile/Adult,365,all,329169.80304646294,52499.26903065032,901.8350768396245,143.8336137826036
12,Juvenile/Adult,365,Rs,328263.1292260671,413.6703440354715,899.3510389755263,1.1333434083163603
12,Juvenile/Adult,365,Vt,328260.41338562674,2479.397885891502,899.3435983167856,6.7928709202506905
12,Juvenile/Adult,365,pctO2,328207.10369452287,50064.97263815372,899.1975443685558,137.1643085976814
13,Juvenile/Adult,365,all,337990.3603579113,53733.95350073388,926.0009872819488,147.21631096091474
13,Juvenile/Adult,365,Rs,337131.6442198762,424.84626152953246,923.6483403284279,1.1639623603548834
13,Juvenile/Adult,365,Vt,337129.0594013195,2365.170374936115,923.641258633752,6.479918835441411
13,Juvenile/Adult,365,pctO2,337074.1050755553,51417.55208121489,923.4906988371378,140.8700057019586
14,Juvenile/Adult,365,all,345492.9343153505,54798.794918263906,946.5559844256178,150.13368470757234
14,Juvenile/Adult,365,Rs,344668.8800260454,434.3445287774123,944.2983014412202,1.1899850103490748
14,Juvenile/Adult,365,Vt,344666.3893619031,2283.6301470797785,944.2914777038441,6.256520950903503
14,Juvenile/Adult,365,pctO2,344610.05448186764,52567.09179739575,944.1371355667607,144.01942958190617
15,Juvenile/Adult,365,all,351859.2971268675,55711.99796529588,963.998074320185,152.63561086382433
15,Juvenile/Adult,365,Rs,351060.62394904625,442.3992710625056,961.809928627524,1.212052797431522
15,Juvenile/Adult,365,Vt,351058.2018092569,2224.6895456133807,961.8032926281012,6.095039850995564
15,Juvenile/Adult,365,pctO2,351000.7075091239,53541.92709300016,961.6457739975997,146.69021121369906
16,Juvenile/Adult,365,all,357273.1996811889,56526.26160689156,978.8306840580518,154.8664701558673
16,Juvenile/Adult,365,Rs,356480.2835218648,449.22901293856955,976.6583110188077,1.2307644190097795
16,Juvenile/Adult,365,Vt,356477.87501356384,2214.0396076587513,976.6517123659283,6.065861938791099
16,Juvenile/Adult,365,pctO2,356419.4420943904,54368.50517644493,976.4916221764121,148.95480870258885
17,Juvenile/Adult,365,all,361857.38471333263,57236.44178457593,991.3900951050209,156.81216927281076
17,Juvenile/Adult,365,Rs,361060.6434472026,455.0010869165028,989.207242321103,1.2465783203191858
17,Juvenile/Adult,365,Vt,361058.22194266715,2226.6675892341186,989.2006080621018,6.100459148586626
17,Juvenile/Adult,365,pctO2,360999.020277654,55067.07767490243,989.0384117195999,150.86870595863678
18,Juvenile/Adult,365,all,365744.1039422887,57867.59977867763,1002.0386409377774,158.54136925665102
18,Juvenile/Adult,365,Rs,364931.92256992427,459.8795920667134,999.8134864929432,1.2599440878540094
18,Juvenile/Adult,365,Vt,364929.45564385754,2267.690860362251,999.8067277913905,6.212851672225345
18,Juvenile/Adult,365,pctO2,364869.63867898704,55657.50488435076,999.6428456958549,152.48631475164592
19,Juvenile/Adult,365,all,369051.16482451087,58445.95894603962,1011.0990817109887,160.12591492065647
19,Juvenile/Adult,365,Rs,368208.48201293073,464.00864388936816,1008.7903616792623,1.2712565586010087
19,Juvenile/Adult,365,Vt,368205.92746263166,2345.7958491757486,1008.7833629113196,6.426837942947256
19,Juvenile/Adult,365,pctO2,368145.6389029766,56157.22856409558,1008.6181887752783,153.85542072354954
20,Juvenile/Adult,365,all,371840.28366831044,58945.96120287164,1018.7405032008505,161.49578411745654
20,Juvenile/Adult,365,Rs,370966.74376167275,467.4845477754731,1016.3472431826651,1.2807795829465016
20,Juvenile/Adult,365,Vt,370964.10083336144,2424.4976780873653,1016.340002283182,6.642459392020179
20,Juvenile/Adult,365,pctO2,370903.4298919322,56577.90419496893,1016.1737805258416,155.007956698545
21,Juvenile/Adult,365,all,374202.7407505193,59392.51313146631,1025.2129883575872,162.71921405881181
21,Juvenile/Adult,365,Rs,373293.3909259238,470.416539970741,1022.7216189751338,1.2888124382760027
21,Juvenile/Adult,365,Vt,373290.64585516293,2515.326776676595,1022.7140982333231,6.891306237470123
21,Juvenile/Adult,365,pctO2,373229.679961193,56932.75223072457,1022.5470683868301,155.98014309787553
22,Juvenile/Adult,365,all,376196.638992605,59781.05700365021,1030.6757232674108,163.78371781821974
22,Juvenile/Adult,365,Rs,375252.17424752517,472.88495782945114,1028.0881486233566,1.2955752269300032
22,Juvenile/Adult,365,Vt,375249.3291720686,2604.261005902435,1028.0803538960783,7.134961660006671
22,Juvenile/Adult,365,pctO2,375188.12897209346,57231.49560050613,1027.9126821153245,156.79861808357845
23,Juvenile/Adult,365,all,377885.29026367085,60128.70285167845,1035.3021651059476,164.7361721963793
23,Juvenile/Adult,365,Rs,376903.28697198135,474.96565562325287,1032.611745128716,1.3012757688308298
23,Juvenile/Adult,365,Vt,376900.33520275186,2699.128540059386,1032.6036580897312,7.394872712491469
23,Juvenile/Adult,365,pctO2,376838.9598967988,57483.31466275446,1032.435506566572,157.48853332261496
24,Juvenile/Adult,365,all,379308.4545808356,60430.078869337674,1039.2012454269468,165.56185991599364
24,Juvenile/Adult,365,Rs,378291.298120203,476.71479830206573,1036.4145153978166,1.3060679405536046
24,Juvenile/Adult,365,Vt,378288.2465131914,2787.9404926108346,1036.4061548306613,7.6381931304406425
24,Juvenile/Adult,365,pctO2,378226.73414950765,57695.00685103345,1036.2376278068703,158.0685119206396
25,Juvenile/Adult,365,all,380501.66289958335,60683.155949926615,1042.470309313927,166.25522178062087
25,Juvenile/Adult,365,Rs,379454.87017419026,478.18110751875344,1039.6023840388775,1.3100852260787765
25,Juvenile/Adult,365,Vt,379451.7344010215,2862.862351960269,1039.593792879511,7.843458498521285
25,Juvenile/Adult,365,pctO2,379390.1076135924,57872.468764537814,1039.4249523660067,158.5547089439392
26,Juvenile/Adult,365,all,381520.0588293588,60917.73791478147,1045.260435148928,166.8979120952917
26,Juvenile/Adult,365,Rs,380440.1757540308,479.422769045449,1042.3018513809063,1.3134870384806823
26,Juvenile/Adult,365,Vt,380436.9461563271,2946.369503225811,1042.2930031680194,8.07224521431729
26,Juvenile/Adult,365,pctO2,380375.2450287384,58022.74240937645,1042.123958982845,158.96641755993548
27,Juvenile/Adult,365,all,382369.5480141173,61111.475590215516,1047.5878027784036,167.4287002471658
