age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_perday_sd
8,Pregnant,396,all,358005.50217068574,60896.63339072431,904.0542984108225,153.77937724930382
8,Pregnant,396,Rs,335071.914210473,3282.733466227236,846.1411975011945,8.289730975321303
8,Pregnant,396,Vt,336264.2375499516,4766.348091889044,849.1521150251302,12.036232555275364
8,Pregnant,396,pctO2,355267.4720043894,57261.85375476939,897.1400808191652,144.6006407948722
9,Pregnant,396,all,379160.3473428564,64274.92900103177,957.4756246031727,162.31042677028225
9,Pregnant,396,Rs,355049.112566762,3478.452101016951,896.5886680978839,8.783969952063007
9,Pregnant,396,Vt,356229.9286552425,4884.296444507636,899.570526907178,12.334081930574838
9,Pregnant,396,pctO2,376448.7422236264,60675.84150543861,950.6281369283495,153.22182198343083
10,Pregnant,396,all,397442.9194984595,67166.56652604372,1003.6437361072209,169.61254173243364
10,Pregnant,396,Rs,372336.5483234777,3647.8188593068635,940.2438088976709,9.211663786128444
10,Pregnant,396,Vt,373496.97701236344,4970.396095586587,943.1741843746552,12.55150529188532
10,Pregnant,396,pctO2,394778.1316420091,63630.164372004554,996.9144738434572,160.68223326263777
11,Pregnant,396,all,413084.35076058144,69548.48090443277,1043.1422999004583,175.6274770313959
11,Pregnant,396,Rs,387200.8879920781,3793.4462999070706,977.7800201820154,9.579409848250178
11,Pregnant,396,Vt,388309.5759602963,4985.0971879555555,980.5797372734755,12.58862926251403
11,Pregnant,396,pctO2,410538.3793772493,66170.3941202071,1036.713079235478,167.09695484900783
12,Pregnant,396,all,426453.8056328956,71569.95863720063,1076.9035495780192,180.73221878080966
12,Pregnant,396,Rs,399917.86166004464,3918.035778399566,1009.8935900506178,9.894029743433247
12,Pregnant,396,Vt,400976.9062574271,4994.763163696703,1012.567945094513,12.61303829216339
12,Pregnant,396,pctO2,424021.83440573304,68343.65142854999,1070.7622080952854,172.5849783549242
13,Pregnant,396,all,437823.51889508753,73265.12925149193,1105.6149467047665,185.01295265528265
13,Pregnant,396,Rs,410752.0760231182,4024.1796733713204,1037.2527172300966,10.16206988225081
13,Pregnant,396,Vt,411759.9513471305,4993.489785491763,1039.7978569371983,12.609822690635765
13,Pregnant,396,pctO2,435509.0518796065,70195.15605217073,1099.7703330293093,177.2604950812392
14,Pregnant,396,all,447492.87354474573,74724.90656876954,1130.032508951378,188.69925901204428
14,Pregnant,396,Rs,419951.4173524172,4114.306551716511,1060.4833771525687,10.38966300938513
14,Pregnant,396,Vt,420922.51647415373,5008.014916816328,1062.9356476620044,12.646502315192748
14,Pregnant,396,pctO2,445262.8587478021,71767.2703222663,1124.4011584540458,181.23048061178358
15,Pregnant,396,all,455689.95429069723,75974.23008237983,1150.732207804791,191.85411636964602
15,Pregnant,396,Rs,427740.5260764484,4190.61723845583,1080.152843627395,10.58236676377735
15,Pregnant,396,Vt,428684.84588389995,5029.92461574992,1082.5374896058079,12.701829837752323
15,Pregnant,396,pctO2,453521.43503604236,73098.38398986933,1145.256149080915,184.5918787622963
16,Pregnant,396,all,462654.60974236694,77082.30789353861,1168.3197215716336,194.65229266045105
