age_yrs,Lifestage,no_days,Es,Es_sd,Es_perday,Es_sd_perday,Lifestage_f
1,Juvenile/Adult,365,75333.83867491885,12574.078796830718,206.3940785614215,34.449530950221146,Juvenile/Adult
2,Juvenile/Adult,365,126708.44115896728,21536.94710939163,347.14641413415694,59.005334546278434,Juvenile/Adult
3,Juvenile/Adult,365,156519.50973521388,25756.196669106022,428.8205746170243,70.5649223811124,Juvenile/Adult
4,Juvenile/Adult,365,185086.17838909497,30103.257864850944,507.08542024409576,82.4746790817834,Juvenile/Adult
5,Juvenile/Adult,365,211673.0344380064,34363.91767408076,579.9261217479627,94.14771965501578,Juvenile/Adult
6,Juvenile/Adult,365,235798.99676456343,38281.58921604492,646.0246486700368,104.88106634532856,Juvenile/Adult
7,Juvenile/Adult,365,257283.22596308516,41736.15530957633,704.885550583795,114.34563098514064,Juvenile/Adult
8,Juvenile/Adult,365,276151.4449749246,44701.13660100422,756.5793013011634,122.46886740001156,Juvenile/Adult
9,Juvenile/Adult,365,292529.8329365376,47174.33989871937,801.4515970864045,129.2447668458065,Juvenile/Adult
10,Juvenile/Adult,365,306686.34730409423,49289.42934640592,840.2365679564225,135.03953245590662,Juvenile/Adult
11,Juvenile/Adult,365,318806.3347995423,51026.00366997176,873.442013149431,139.79727032868976,Juvenile/Adult
12,Juvenile/Adult,365,329169.80304646294,52499.26903065032,901.8350768396244,143.8336137826036,Juvenile/Adult
13,Juvenile/Adult,365,337990.3603579113,53733.95350073388,926.0009872819488,147.21631096091474,Juvenile/Adult
14,Juvenile/Adult,365,345492.9343153505,54798.794918263906,946.5559844256178,150.13368470757234,Juvenile/Adult
15,Juvenile/Adult,365,351859.2971268675,55711.99796529588,963.998074320185,152.63561086382433,Juvenile/Adult
16,Juvenile/Adult,365,357273.1996811889,56526.26160689156,978.8306840580518,154.8664701558673,Juvenile/Adult
17,Juvenile/Adult,365,361857.38471333263,57236.44178457593,991.3900951050208,156.81216927281076,Juvenile/Adult
18,Juvenile/Adult,365,365744.1039422887,57867.59977867763,1002.0386409377774,158.54136925665102,Juvenile/Adult
19,Juvenile/Adult,365,369051.16482451087,58445.95894603962,1011.0990817109888,160.12591492065647,Juvenile/Adult
20,Juvenile/Adult,365,371840.2836683104,58945.96120287164,1018.7405032008504,161.49578411745654,Juvenile/Adult
21,Juvenile/Adult,365,374202.7407505193,59392.51313146631,1025.2129883575872,162.7192140588118,Juvenile/Adult
22,Juvenile/Adult,365,376196.638992605,59781.05700365021,1030.6757232674108,163.78371781821974,Juvenile/Adult
23,Juvenile/Adult,365,377885.2902636709,60128.70285167845,1035.3021651059476,164.7361721963793,Juvenile/Adult
24,Juvenile/Adult,365,379308.4545808356,60430.078869337674,1039.2012454269468,165.56185991599364,Juvenile/Adult
25,Juvenile/Adult,365,380501.66289958335,60683.155949926615,1042.470309313927,166.25522178062087,Juvenile/Adult
26,Juvenile/Adult,365,381520.0588293588,60917.73791478147,1045.260435148928,166.8979120952917,Juvenile/Adult
27,Juvenile/Adult,365,382369.5480141173,61111.47559021552,1047.5878027784036,167.4287002471658,Juvenile/Adult
28,Juvenile/Adult,365,383087.67873270693,61281.69916198165,1049.555284199197,167.89506619721,Juvenile/Adult
29,Juvenile/Adult,365,383692.555261055,61428.047808462594,1051.212480167274,168.2960213930482,Juvenile/Adult
30,Juvenile/Adult,365,384196.744451041,61548.24371975488,1052.5938204138108,168.62532525960242,Juvenile/Adult
8,Pregnant,396,337400.97646304284,62559.72061107326,852.0226678359668,157.9790924522052,Pregnant
9,Pregnant,396,357411.1188166296,66077.44246280835,902.5533303450242,166.86222844143524,Pregnant
10,Pregnant,396,374706.5905406328,69093.6332650967,946.228763991497,174.4788718815573,Pregnant
11,Pregnant,396,389513.5866101415,71595.81540704866,983.620168207428,180.79751365416328,Pregnant
12,Pregnant,396,402174.58134787355,73722.96367646036,1015.5923771410949,186.16910019308173,Pregnant
13,Pregnant,396,412950.50981497293,75512.7869707654,1042.804317714578,190.6888559867813,Pregnant
14,Pregnant,396,422116.3555893871,77051.05863320948,1065.9503929024927,194.57338038689264,Pregnant
15,Pregnant,396,429894.14938422816,78366.79490084859,1085.5912863238084,197.89594671931462,Pregnant
16,Pregnant,396,436508.5166728081,79526.31189684312,1102.2942340222426,200.82401994152303,Pregnant
17,Pregnant,396,442109.2944544116,80530.4383745946,1116.4376122586152,203.35969286513787,Pregnant
18,Pregnant,396,446858.0864414257,81413.06412015039,1128.4295112157215,205.58854575795553,Pregnant
19,Pregnant,396,450898.8665148301,82208.59117139198,1138.633501300076,207.59745245301005,Pregnant
20,Pregnant,396,454306.85501396493,82892.70972370576,1147.2395328635478,209.32502455481253,Pregnant
21,Pregnant,396,457193.6304348571,83497.02217718554,1154.5293697849927,210.8510661040039,Pregnant
22,Pregnant,396,459630.1103109047,84019.64490272512,1160.6820967447088,212.17082046142707,Pregnant
23,Pregnant,396,461693.68446297,84482.32206193834,1165.8931425832575,213.3391971261069,Pregnant
24,Pregnant,396,463432.8703292912,84881.32645519974,1170.2850260840687,214.34678397777714,Pregnant
25,Pregnant,396,464891.03920417454,85216.30575167648,1173.9672707176126,215.19269129211233,Pregnant
26,Pregnant,396,466135.673601046,85522.28089353637,1177.1102868713283,215.96535579175853,Pregnant
27,Pregnant,396,467173.8682372599,85775.43186572094,1179.7319904981312,216.60462592353772,Pregnant
28,Pregnant,396,468051.5578096544,85996.40733611907,1181.948378307208,217.16264478817948,Pregnant
29,Pregnant,396,468790.8450194095,86185.75150580263,1183.815265200529,217.64078663081472,Pregnant
30,Pregnant,396,469407.0616788738,86341.64928625546,1185.3713678759439,218.03446789458448,Pregnant
8,Lactating,365,259686.7672782204,50107.69419683871,711.4705952827956,137.28135396394168,Lactating
9,Lactating,365,275087.7304557934,52962.73109031455,753.6650149473792,145.10337285017684,Lactating
10,Lactating,365,288399.2999525483,55415.7806359398,790.135068363146,151.8240565368214,Lactating
11,Lactating,365,299795.51272160665,57467.49172216526,821.3575691002922,157.44518280045276,Lactating
12,Lactating,365,309540.0408605001,59214.429267664775,848.0549064671236,162.23131306209527,Lactating
13,Lactating,365,317833.706430537,60688.8642436491,870.7772778918821,166.2708609415044,Lactating
14,Lactating,365,324888.1928539625,61952.63646328148,890.1046379560615,169.73325058433284,Lactating
15,Lactating,365,330874.37717779574,63031.34419551761,906.5051429528651,172.68861423429482,Lactating
16,Lactating,365,335965.17299287854,63973.2225783154,920.4525287476124,175.26910295428877,Lactating
17,Lactating,365,340275.87619368563,64784.23225543535,932.2626745032483,177.49104727516536,Lactating
18,Lactating,365,343930.87222452345,65490.74058710901,942.2763622589683,179.4266865400247,Lactating
19,Lactating,365,347040.9814443967,66118.78670298582,950.7972094367034,181.14736083009814,Lactating
20,Lactating,365,349664.05749776796,66656.44185570179,957.983719171967,182.62038864575834,Lactating
21,Lactating,365,351885.99048573157,67126.87195989407,964.0712068102234,183.9092382462851,Lactating
22,Lactating,365,353761.34725048475,67531.52913884855,969.2091705492733,185.01788805163986,Lactating
23,Lactating,365,355349.70018572523,67886.3767261745,973.5608224266444,185.99007322239586,Lactating
24,Lactating,365,356688.3779894995,68190.93017657971,977.2284328479437,186.8244662372047,Lactating
25,Lactating,365,357810.75319073745,68446.55208572153,980.3034333992807,187.5248002348535,Lactating
26,Lactating,365,358768.78901248483,68676.87481039637,982.9281890753009,188.15582139834623,Lactating
27,Lactating,365,359567.9191523137,68867.74828955538,985.1175867186678,188.67876243713803,Lactating
28,Lactating,365,360243.5110616758,69033.33027112806,986.968523456646,189.1324117017207,Lactating
29,Lactating,365,360812.5726906809,69174.75151546318,988.5275964128244,189.51986716565256,Lactating
30,Lactating,365,361286.8994769371,69291.46803172756,989.8271218546221,189.83963844308923,Lactating
