age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,MR_perday,MR_perday_sd,MR_quant025,MR_quant975,Es,Es_sd,Es_quant025,Es_quant975
1,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,161.45936137457826,43.36978145185674,78.02550109317839,248.94694056543045,4843.780841237348,1301.0934435557022,2340.765032795352,7468.408216962914
1,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,270.83504004415795,72.74545205032388,130.94288962674682,417.74926176736915,41708.59616680032,11202.799615749876,20165.20500251901,64333.38631217485
1,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,130.20954289512215,34.972606072999646,62.980210239766656,201.1236753378199,11718.858860560993,3147.534546569968,5668.218921578999,18101.13078040379
1,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,187.50112973978224,50.36387398590061,90.62449588729571,289.1171405832879,17062.602806320185,4583.112532716956,8246.829125743909,26309.659793079194
2,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,271.5680549021548,74.28389351404344,129.61774731456225,422.25569708096947,8147.041647064644,2228.5168054213036,3888.532419436867,12667.670912429085
2,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,455.5334811774056,124.59879716673575,217.52543572612407,708.6770205496509,70152.15610132046,19188.214763677304,33498.917101823114,109136.26116464625
2,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,219.00713310746,59.901291511784926,104.62429935270453,341.19822952374176,19710.6419796714,5391.116236060643,9416.186941743406,30707.84065713676
2,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,315.36924649352505,86.26344477655445,150.54792444140736,490.4408935826726,28698.601430910778,7849.973474666454,13699.86112416807,44630.1213160232
3,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,335.4606705870297,88.83686472475812,163.65274841839778,513.8931097785625,10063.82011761089,2665.105941742743,4909.582452551933,15416.793293356875
3,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,562.7081851645098,149.00861244230407,274.64297117030935,862.1968426010195,86657.06051533451,22947.326316114828,42295.01756022764,132778.31376055698
3,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,270.533592038453,71.63633692264948,132.09623067552204,415.0929826948618,24348.023283460767,6447.270323038453,11888.660760796982,37358.36844253756
3,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,389.5670969099748,103.1632277111826,190.07779527944197,596.7330531939539,35450.60581880771,9387.853721717616,17297.07937042922,54302.7078406498
4,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,396.68622483254603,103.83059777492026,195.00189988169961,604.4766065278901,11900.586744976381,3114.917933247608,5850.056996450989,18134.298195836705
4,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,665.4091085995221,174.15787231275513,327.25319350039837,1014.0310151244809,102473.0027243264,26820.312336164287,50396.99179906135,156160.77632917007
4,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,319.90918630120495,83.72689493259792,157.4003272887351,488.1835892109985,28791.826767108447,7535.420543933813,14166.029455986158,43936.52302898986
4,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,460.66771596355716,120.57489376758326,226.48850369963534,701.8392732026352,41920.7621526837,10972.315332850078,20610.453836666817,63867.37386143981
5,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,453.66854317213637,118.52626086597742,223.27929165431226,690.7303831181935,13610.056295164091,3555.7878259793224,6698.378749629367,20721.911493545802
5,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,760.9923461973825,198.80727709908496,374.70844000428934,1158.698673467767,117192.8213143969,30616.32067325908,57705.09976066056,178439.5957140361
5,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,365.86280438166636,95.57716236907318,180.2250613868285,557.8293179834835,32927.65239434997,8601.944613216587,16220.255524814564,50204.63861851351
5,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,526.8407080669828,137.64045231378512,259.3317237775163,801.9715403452517,47942.50443409543,12525.281160554445,23599.18686375398,72979.4101714179
6,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,505.3765475039208,132.03889220444108,248.72409172205937,769.4668005386641,15161.296425117624,3961.166766133232,7461.72275166178,23084.004016159925
6,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,847.7283479003287,221.472376585811,417.410032838605,1290.7792319301004,130550.16557665062,34106.74599421489,64281.14505714517,198780.0017172355
6,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,407.5629305099189,106.47347330145114,200.76342252529255,621.4165426014962,36680.6637458927,9582.612597130603,18068.70802727633,55927.48883413466
6,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,586.8886924934338,153.33220442692254,288.88504263892963,893.3885637214096,53406.87101690248,13953.230602849952,26288.538880142598,81298.35929864827
7,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,551.422653358532,143.95421262874544,271.5257336164692,839.2719593694159,16542.67960075596,4318.626378862363,8145.772008494076,25178.15878108247
7,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,924.9669721591883,241.45824810467332,455.6758544642336,1407.8635379980772,142444.913712515,37184.570208119694,70174.081587492,216810.9848517039
7,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,444.69699629490543,116.08173542791614,219.16828560133004,677.7833901728208,40022.72966654149,10447.356188512455,19725.145704119703,61000.505115553875
7,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,640.361571244755,167.16905002178953,315.3683800111931,974.4282228815441,58272.90298327272,15212.383551982848,28698.522581018573,88672.9682822205
8,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,591.8619914184407,154.18089866554737,291.83984901059085,899.9513709274979,17755.85974255322,4625.426959966421,8755.195470317725,26998.54112782494
8,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,992.8006962755456,258.61169839258895,489.7670780065774,1509.612717156389,152891.30722643403,39826.2015524587,75424.13001301292,232480.35844208387
8,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,477.3094623144287,124.32829853680515,235.56526193021733,726.766027450098,42957.85160829858,11189.546868312464,21200.87357371956,65408.942470508824
8,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,687.3233670070194,179.04493422865016,338.9624628669765,1044.8577733996449,62546.42639763877,16293.089014807165,30845.584120894866,95082.05737936769
9,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,626.9649952672002,162.71139149371214,309.89480128690906,951.7103624459916,18808.949858016003,4881.341744811364,9296.84403860727,28551.31087337975
9,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1051.6831507725399,272.92003835763614,520.0669375746112,1596.361849063589,161959.20521897115,42029.68590707597,80090.30838649011,245839.72475579273
9,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,505.6184209720888,131.20706074049644,250.13867260415864,768.5252595963435,45505.65788748799,11808.63546664468,22512.480534374277,69167.27336367092
9,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,728.0881315611261,188.9510761863259,359.9325025716508,1104.9104697482776,66256.01997206248,17194.54793295566,32753.85773402022,100546.85274709325
10,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,657.3059652634072,170.00669588539927,325.5954843306182,996.2418456386706,19719.178957902215,5100.200876561978,9767.864529918545,29887.255369160117
10,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1102.577678026346,285.1565645678153,546.4158512913202,1670.9878898206377,169796.96241605727,43914.11094344356,84148.04109886332,257332.13503237825
10,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,530.0870184359725,137.08979277605485,262.81178109229734,804.4481599222069,47707.83165923752,12338.081349844935,23653.060298306762,72400.33439299861
10,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,763.3227941856841,197.42283675399815,378.168137014156,1156.5722479489343,69462.37427089726,17965.478144613833,34413.3004682882,105248.07456335302
11,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,683.2821459605477,175.99645766353711,339.34924225096654,1033.6916438337057,20498.464378816432,5279.893729906114,10180.477267528999,31010.749315011173
11,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1146.1506237523972,295.20324695224923,569.4974117026778,1733.7146528540031,176507.19605786915,45461.30003064638,87702.60140221239,266992.0565395165
11,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,551.0356145205778,141.91974786223497,273.9133674982258,834.641341248348,49593.205306852,12772.777307601147,24652.203074840323,75117.72071235132
11,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,793.4886709451073,204.37850930012746,394.1424268847288,1200.0009856307656,72207.46905600476,18598.4443463116,35866.96084651032,109200.08969239966
12,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,705.4936642234647,181.07802227970626,351.1588702543852,1065.6074018196416,21164.809926703943,5432.340668391188,10534.766107631554,31968.222054589252
12,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1183.4086522278728,303.7265955913485,589.3163296327094,1787.1670425282541,182244.93244309243,46773.89572106767,90754.71476343725,275223.72454935114
12,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,568.9481834282171,146.01735743016775,283.4457117187439,860.3700749759925,51205.33650853955,13141.562168715098,25510.11405468695,77433.30674783932
12,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,819.2826831662309,210.27952668997918,407.8586966277653,1237.0093600830942,74554.72416812701,19135.436928788105,37115.14139312665,112567.85176756157
13,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,724.3983363680281,185.33668302864163,361.2913497510734,1092.5958955173803,21731.950091040846,5560.1004908592495,10838.740492532203,32777.87686552141
13,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1215.1197133636506,310.8696707241509,606.3206518055497,1832.3588324759248,187128.43585800217,47873.92929151924,93373.38037805466,282183.26020129246
13,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,584.1939330221736,149.4513974100226,291.6243106221814,882.1221959045706,52577.45397199562,13450.625766902034,26246.187955996327,79390.99763141136
13,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,841.2364883172824,215.22493576880672,419.62702548060514,1268.2996196733868,76552.5204368727,19585.46915496141,38186.059318735075,115415.2653902782
14,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,740.4782388170518,189.00951862769563,369.84850325848834,1115.6845720889169,22214.347164511553,5670.2855588308685,11095.455097754651,33470.537162667504
14,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1242.0924513945,317.0301457898435,620.6812664963353,1871.0268647729235,191282.23751475298,48822.642451635904,95584.91504043562,288138.1371750302
14,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,597.1616355234783,152.41305266927256,298.53136357899916,900.7345944552532,53744.54719711305,13717.17474023453,26867.822722109926,81066.11350097279
14,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,859.9099169117902,219.49005223180959,429.5657130892711,1295.0719885602734,78251.80243897291,19973.594753094672,39090.479891123665,117851.55095898488
15,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,754.1229551052998,192.1593225733043,377.0694135503424,1135.364006058682,22623.68865315899,5764.779677199129,11312.082406510272,34060.920181760455
15,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1264.9803612524674,322.31334089240227,632.7994004094633,1903.989427317961,194806.97563288,49636.254497429945,97451.10766305734,293214.37180696597
