age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
8,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,720.38842203205445,253.50821047694217,328.40506524746706,1255.0390421262787,22332.041082993688,7858.754524785208,10180.557022671477,38906.21030591465
8,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,617.9749682143794,234.78044336201665,271.5411292348292,1130.8064544508331,31516.723378933344,11973.80261146285,13848.597590976291,57671.1291769925
8,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1356.9654530007876,370.4156385774396,688.1382538250788,1991.723851277762,207615.71430912052,56673.59270234826,105285.15283523704,304733.7492454976
8,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,494.70419023689504,214.3887774838771,203.53133209889603,980.7367560932582,49470.4190236895,21438.87774838771,20353.133209889602,98073.67560932584
8,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,720.38842203205445,253.50821047694217,328.40506524746706,1255.0390421262787,43943.693743955315,15464.000839093473,20032.708980095493,76557.381569703
9,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,762.9789299542393,267.9616904303567,348.5152103303467,1328.390272444287,23652.34682858142,8306.812403341059,10803.971520240746,41180.0984457729
9,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,654.5128927724003,248.22874829346284,288.16297076390276,1196.903798514388,33380.15753139241,12659.666162966605,14696.311508959043,61042.09372423378
9,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1437.1643411987684,391.00687775809735,730.4590637732769,2106.1331071969607,219886.14420341156,59824.05229698889,111760.23675731136,322238.36540113494
9,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,523.9564898174905,226.7454748322023,215.99146691442093,1038.0723762233697,52395.648981749044,22674.547483220227,21599.146691442093,103807.23762233696
9,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,762.9789299542393,267.9616904303567,348.5152103303467,1328.390272444287,46541.7147272086,16345.663116251759,21259.427830151148,81031.80661910151
10,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,799.7895865185205,280.3866944582724,365.9846718994175,1391.6791210528045,24793.477182074133,8691.987528206446,11345.524828881942,43142.05275263694
10,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,686.0926350641299,259.79788837262265,302.6014197862869,1253.9347481276852,34990.724388270624,13249.692307003757,15432.672409100633,63950.67215451195
10,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1506.4761923110848,408.637822264032,767.2450754008717,2204.590265715392,230490.857423596,62521.586806396896,117388.49653633335,337302.31065445504
10,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,549.2396189629401,237.38551022525132,226.81504703104792,1087.54472179023,54923.96189629401,23738.551022525135,22681.50470310479,108754.472179023
10,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,799.7895865185205,280.3866944582724,365.9846718994175,1391.6791210528045,48787.164777629754,17103.58836195462,22325.06498586447,84892.42638422108
11,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,831.2917640224532,290.7982098020564,381.225229465478,1445.4861324557057,25770.044684696048,9014.744503863749,11817.982113429816,44810.07010612688
11,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,713.1191967766123,269.51947435271023,315.19519859032397,1302.424347818102,36369.079035607225,13745.493191988222,16074.955128106523,66423.6417387232
11,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1565.781235456704,423.18027048218744,799.4107741166838,2287.4501056566924,239564.52902487572,64746.581383774675,122309.84843985262,349979.86616547394
11,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,570.8785828621546,246.35937867193857,236.25634893456942,1129.6120159649977,57087.85828621546,24635.937867193858,23625.63489345694,112961.20159649977
11,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,831.2917640224532,290.7982098020564,381.225229465478,1445.4861324557057,50708.79760536965,17738.69079792544,23254.738997394157,88174.65407979804
12,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,858.2195968150696,299.66395416317346,394.29860474023633,1491.4239235440687,26604.807501267158,9289.582579058377,12223.256746947327,46234.14162986612
12,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,736.2214551048344,277.80208656351147,325.9977771416256,1343.8228603432663,37547.294210346554,14167.906414739084,16625.88663422291,68534.96587750659
12,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1616.472968542888,435.5255688436284,827.0138972651052,2358.0571946636,247320.36418706187,66635.41203307513,126533.12628156113,360782.75078353076
12,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,589.3757161640816,254.01017302428826,244.35490980725535,1165.5280953991814,58937.57161640816,25401.017302428827,24435.490980725535,116552.80953991815
12,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,858.2195968150696,299.66395416317346,394.29860474023633,1491.4239235440687,52351.395405719246,18279.50120395358,24052.214889154417,90976.85933618818
13,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,881.122107450119,307.1474455634366,405.4934553768276,1530.4020804259003,27314.785330953688,9521.570812466534,12570.297116681657,47442.46449320292
13,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,755.8705062989485,284.80062360334085,335.24748909422783,1378.9502178238106,38549.39582124638,14524.831803770385,17097.621943805618,70326.46110901434
13,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1659.584066489904,445.8836057082648,850.669361856818,2417.744614740543,253916.36217295533,68220.19167336452,130152.41236409315,369914.92605530313
13,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,605.1082972570335,260.4835731524106,251.2894466284285,1196.0046356567223,60510.82972570335,26048.357315241057,25128.94466284285,119600.46356567222
13,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,881.122107450119,307.1474455634366,405.4934553768276,1530.4020804259003,53748.44855445726,18735.99417936963,24735.100777986485,93354.52690597993
14,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,900.5976895634009,313.5553137740297,414.95616717655696,1563.6176132956784,27918.528376465427,9720.21472699492,12863.641182473264,48472.146012166035
14,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,772.5792618893252,290.7876953020521,343.06650117182244,1408.8836795481282,39401.54235635558,14830.17246040466,17496.391559762946,71853.06765695455
14,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1696.2466256795663,454.7994127067518,870.6507481699,2468.7757122256653,259525.73372897363,69584.31014413302,133209.5644699947,377722.6839705268
14,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,618.4864164110361,266.0146835416926,257.15127798495524,1221.9740981000132,61848.64164110361,26601.468354169258,25715.127798495523,122197.40981000132
14,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,900.5976895634009,313.5553137740297,414.95616717655696,1563.6176132956784,54936.45906336745,19126.874140215812,25312.326197769973,95380.67441103637
15,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,917.1066948950419,319.01581168403794,422.9402772317211,1591.8191479323054,28430.307541746297,9889.490162205177,13111.148594183353,49346.39358590147
15,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,786.742770407811,295.88601870421996,349.6640603479964,1434.2982032443178,40123.88129079836,15090.186953915218,17832.86707774782,73149.20836546022
15,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1727.3260888631894,462.42730296757554,887.5007724764225,2512.212872290507,264280.891596068,70751.37735403905,135787.61818889264,384368.5694604475
15,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,629.8264952517769,270.72038093295873,262.097329687905,1244.0225004467015,62982.64952517769,27072.038093295872,26209.732968790508,124402.25004467015
15,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,917.1066948950419,319.01581168403794,422.9402772317211,1591.8191479323054,55943.508388597555,19459.964512726317,25799.356911134986,97100.96802387064
16,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,931.128886375416,323.76581729459224,429.5746370255898,1615.9523488678894,28864.995477637895,10036.74033613236,13316.813747793285,50094.52281490457
16,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,798.7722968212377,300.30689669627026,355.14750903313677,1456.0449474889044,40737.38713788312,15315.651731509783,18112.522960689974,74258.29232193413
16,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1753.7296681378493,469.18252340904104,901.465859689682,2549.8154040233094,268320.63922509097,71784.92608158328,137924.27653252135,390121.75681556633
16,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,639.4574003569558,274.7838032204723,266.20788129273075,1262.8867396329347,63945.74003569557,27478.380322047225,26620.788129273074,126288.67396329346
16,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,931.128886375416,323.76581729459224,429.5746370255898,1615.9523488678894,56798.86206890037,19749.714854970127,26204.05285856098,98573.09328094125
17,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,942.9934087974545,327.8464937936091,435.1071938876118,1636.4709785626794,29232.79567272109,10163.241307601882,13488.323010515964,50730.600335443065
17,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,808.9505123579238,304.0972609559901,359.72098848616906,1474.533735874501,41256.47613025411,15508.960308755495,18345.770412794624,75201.22052959955
17,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1776.0735435377035,475.0503078159694,913.0912360938718,2582.0217284998675,271739.2521612686,72682.69709584332,139702.95912236237,395049.3244604797
17,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,647.6058104886016,278.25853499992166,269.63613909505284,1278.9236722176097,64760.581048860164,27825.853499992165,26963.613909505286,127892.36722176094
17,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,942.9934087974545,327.8464937936091,435.1071938876118,1636.4709785626794,57522.59793664473,19998.636121410156,26541.53882714432,99824.72969232345
18,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,953.0402724261328,331.38833915743027,439.6786247179551,1653.984901496455,29544.248445210116,10273.038513880338,13630.037366256609,51273.531946390096
18,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,817.5690433089101,307.37668166224535,363.50094495883224,1490.3139211486123,41696.02120875441,15676.21076477451,18538.548192900445,76006.00997857921
18,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1794.998736512186,480.2323548122769,922.6679180937492,2609.840905663571,274634.80668636446,73475.55028627838,141168.19146834363,399305.65856652637
18,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,654.5051221064601,281.25219715088264,272.4693560077534,1292.6095382778149,65450.51221064601,28125.219715088268,27246.935600775345,129260.9538277815
18,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,953.0402724261328,331.38833915743027,439.6786247179551,1653.984901496455,58135.456617994096,20214.688688603244,26820.39610779526,100893.07899128375
19,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,961.5719542921655,334.51912641621976,443.39883638628686,1669.0552892763126,29808.730583057128,10370.092918902812,13745.363927974893,51740.71396756569
19,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,824.8872740979505,310.26097481240396,366.5785044420327,1503.8908467284123,42069.25097899548,15823.3097154326,18695.503726543662,76698.43318314903
