Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Juvenile/Adult,1,597.2529854786253,41.62264507768768,509.031571642758,685.5892356603282,597.2529854786253,41.62264507768768,509.031571642758,48.16249431887064,3.6395054952931702,40.268910313455734,55.98215444441373,,
Juvenile/Adult,2,524.8567071710073,57.7768427428488,397.4478673797548,652.6861676845278,524.8567071710073,57.7768427428488,397.4478673797548,180.81971539627088,18.17408634391848,140.10394909846815,220.51168352303867,2.353711089401634,0.20816251473579508
Juvenile/Adult,3,623.8442605962493,68.84114833040782,470.72286571173754,775.9394113881095,623.8442605962493,68.84114833040782,470.72286571173754,214.92680190453396,21.71332762877226,166.2232788210339,262.0832333103393,2.3316431783202702,0.2142484077091259
Juvenile/Adult,4,715.8643663660162,79.95187568244509,537.8976450172592,892.2822317184996,715.8643663660162,79.95187568244509,537.8976450172592,246.6287900892117,25.27033784718196,189.8094924022636,301.41033006039237,2.3164105997210593,0.2180446091901275
Juvenile/Adult,5,799.5070863747716,90.56629851722612,597.9285077175174,1000.3812908349236,799.5070863747716,90.56629851722612,597.9285077175174,275.4418846851876,28.66960966415499,210.7772950056113,337.663315041703,2.3053615781289887,0.22081545565443436
Juvenile/Adult,6,874.0972859678842,100.13827978479848,650.413071072902,1096.335207538124,874.0972859678842,100.13827978479848,650.413071072902,301.1363399813369,31.738389076472235,229.40297362694633,370.1298725351792,2.2967224860739672,0.22303071811953723
Juvenile/Adult,7,939.6576862298172,108.52566140505152,697.1343372015702,1180.3316877376542,939.6576862298172,108.52566140505152,697.1343372015702,323.72076399403403,34.43073973042304,245.90109918968037,398.5770083892584,2.2896472722209595,0.22539268042139793
Juvenile/Adult,8,996.802107464596,115.84565627004116,737.8693510782837,1253.738223774845,996.802107464596,115.84565627004116,737.8693510782837,343.40613490510924,36.78201467246418,260.31952914108297,423.4587319172617,2.2839417975623646,0.22729821232238015
Juvenile/Adult,9,1046.0549561873968,122.07099126695698,773.3591959441932,1317.0923859330344,1046.0549561873968,122.07099126695698,773.3591959441932,360.373707325885,38.78409400484151,272.7835996323185,444.7449330200222,2.2789915211556075,0.2290721402655234
Juvenile/Adult,10,1088.3995404549942,127.43418934601712,803.4981299131813,1371.060121265884,1088.3995404549942,127.43418934601712,803.4981299131813,374.9614114499853,40.50970303010936,283.5235637120392,463.1591473265853,2.2750136025227334,0.23076450284758093
Juvenile/Adult,11,1124.5334308491822,131.93982895369743,828.66974870148,1417.3212217805274,1124.5334308491822,131.93982895369743,828.66974870148,387.4100907828471,41.96093721545127,292.8201197598717,478.8433656286416,2.2716286408260102,0.2321774016335227
Juvenile/Adult,12,1155.3254443390747,135.76815935619888,850.9270764276613,1457.1451604556044,1155.3254443390747,135.76815935619888,850.9270764276613,398.01854527663767,43.19465288058973,300.7478599580098,492.1479292173559,2.268899535461508,0.23338908905198483
Juvenile/Adult,13,1181.4697167120323,138.99361188980745,870.0814391041821,1490.9464932486146,1181.4697167120323,138.99361188980745,870.0814391041821,407.025974655236,44.234766536727754,307.51344446009335,503.59485051236805,2.266673510279339,0.23435185859389324
Juvenile/Adult,14,1203.6446638887608,141.7423318716928,886.282730443574,1519.210463636722,1203.6446638887608,141.7423318716928,886.282730443574,414.6658001243122,45.121206738914495,313.18650787447655,513.1165208872753,2.264916054808042,0.23511837848494652
Juvenile/Adult,15,1222.431824409189,144.07235930718122,899.99372667932,1542.8845236744571,1222.431824409189,144.07235930718122,899.99372667932,421.13845453654704,45.87270990573214,317.84335315357026,521.1236050178785,2.26355306117259,0.2355795247887169
Juvenile/Adult,16,1238.344992871473,146.10944707588249,911.42510913407,1563.240507591585,1238.344992871473,146.10944707588249,911.42510913407,426.62051802057135,46.52898068568027,321.76541006950856,528.0564836880806,2.2625486439246703,0.23597441946432415
