age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday
8,922.3774536329422,3.7064692590726502,Female,19848.947527194166,2575.8607280873875,0.47766688442226185,0.10739202587328929,54.38067815669635,7.057152679691472
9,799.3237504701015,3.3013288305721415,Female,17200.910308813356,2232.2612400436265,0.47766688442226185,0.10739202587328929,47.1257816679818,6.115784219297606
10,688.136054554367,6.758993474261854,Female,14808.067499174496,1925.5855504111398,0.47766688442226185,0.10739202587328929,40.57004794294382,5.275576850441479
11,589.2558228573321,8.675775135319258,Female,12680.137368238042,1654.2648007119153,0.47766688442226185,0.10739202587328929,34.74010237873436,4.5322323307175765
12,502.3973029107591,8.78208737010821,Female,10810.981559879148,1413.8711164946894,0.47766688442226185,0.10739202587328929,29.619127561312734,3.8736194972457243
13,426.8225898981199,7.811229497605241,Female,9184.691105530857,1202.1602034710727,0.47766688442226185,0.10739202587328929,25.163537275427007,3.2935895985508843
14,361.56154316365433,5.975613692333938,Female,7780.38048527938,1016.6146238674877,0.47766688442226185,0.10739202587328929,21.316110918573646,2.7852455448424323
15,305.5527316606369,2.364000273476895,Female,6575.245057788154,854.2010149734795,0.47766688442226185,0.10739202587328929,18.014370021337406,2.3402767533519984
16,257.7014120658581,0.564907166206477,Female,5545.581503376813,719.5085794065644,0.47766688442226185,0.10739202587328929,15.193373981854283,1.971256381935793
17,216.99661862843945,2.562824782964894,Female,4669.554164977297,607.912088203179,0.47766688442226185,0.10739202587328929,12.79329908212958,1.6655125704196685
18,182.46957972614953,4.114775052396116,Female,3926.487005867143,516.4101488965935,0.47766688442226185,0.10739202587328929,10.757498646211351,1.4148223257440917
19,153.2683733856669,5.94876891637771,Female,3298.0176794878735,445.7701405672728,0.47766688442226185,0.10739202587328929,9.035664875309243,1.2212880563486925
20,128.61683524984304,6.454853091954603,Female,2767.508571565867,384.13555294089025,0.47766688442226185,0.10739202587328929,7.582215264564019,1.0524261724407953
21,107.84539135672875,6.4290074635934165,Female,2320.5186263991795,330.5432261573888,0.47766688442226185,0.10739202587328929,6.357585277805971,0.905597879883257
22,90.3750453768776,7.00351387833712,Female,1944.542384774126,293.14340389225003,0.47766688442226185,0.10739202587328929,5.327513382942811,0.8031326134034248
23,75.69048225623943,6.589984153308459,Female,1628.5547064234368,253.84245846190748,0.47766688442226185,0.10739202587328929,4.461793716228594,0.6954587903065959
24,63.367668697929325,6.724537865196005,Female,1363.3685411197955,228.01532169129777,0.47766688442226185,0.10739202587328929,3.7352562770405355,0.6246995114830076
25,53.025762425777025,5.786827961570273,Female,1140.8538262232278,192.99964214576636,0.47766688442226185,0.10739202587328929,3.1256269211595282,0.5287661428651134
26,44.359909006904665,5.275762097695,Female,954.3896840780315,167.64183319437487,0.47766688442226185,0.10739202587328929,2.6147662577480313,0.45929269368321884
27,37.101027206377744,4.822449227366322,Female,798.2005275386107,146.32966125311765,0.47766688442226185,0.10739202587328929,2.1868507603797553,0.40090318151539084
28,31.024815594041225,4.584890821305284,Female,667.4531189015825,131.06988234545207,0.47766688442226185,0.10739202587328929,1.8286386819221436,0.3590955680697317
29,25.936196158011256,3.9005098672858742,Female,557.9762495617989,110.67347656766057,0.47766688442226185,0.10739202587328929,1.5287020535939697,0.30321500429496046
30,21.68097607925616,3.594008356021281,Female,466.41844537486776,98.08060528983324,0.47766688442226185,0.10739202587328929,1.2778587544516924,0.26871398709543354
31,18.12153324829145,3.268757675235889,Female,389.8341739792663,86.55462028670543,0.47766688442226185,0.10739202587328929,1.0680388328199077,0.2371359459909738
32,15.143699050546386,2.800489869833663,Female,325.77160551815444,73.54469321853327,0.47766688442226185,0.10739202587328929,0.8925249466250806,0.20149231018776237
33,12.653867671238414,2.372005773635777,Female,272.20900393967656,62.0194545020697,0.47766688442226185,0.10739202587328929,0.7457780929854152,0.16991631370430055
34,10.572339464175847,1.9750012324834392,Female,227.4316086147973,51.696380773422064,0.47766688442226185,0.10739202587328929,0.6231002975747871,0.14163391992718374
35,8.834542195748472,1.881412224131483,Female,190.03886995531607,47.385462956786824,0.47766688442226185,0.10739202587328929,0.5206544382337427,0.1298231861829776
36,7.381017028697991,1.638385395202185,Female,158.76956155882286,40.8239424237306,0.47766688442226185,0.10739202587328929,0.4349851001611585,0.11184641759926192
37,6.166507147480316,1.4413646455366886,Female,132.6418825864604,35.469661967960825,0.47766688442226185,0.10739202587328929,0.36340241804509704,0.097177156076605
38,5.151031270424981,1.18772220882325,Female,110.7996027612161,29.321368323487818,0.47766688442226185,0.10739202587328929,0.3035605555101811,0.08033251595476114
39,4.303654978325461,1.1030633028546006,Female,92.56791330186803,26.609815392022078,0.47766688442226185,0.10739202587328929,0.2536107213749809,0.07290360381375911
40,3.5947566874535974,0.9115471023106536,Female,77.32051816335249,22.037443903249137,0.47766688442226185,0.10739202587328929,0.2118370360639794,0.060376558639038735
41,3.002968002531156,0.8029419678395163,Female,64.58991257773565,19.211786920712857,0.47766688442226185,0.10739202587328929,0.176958664596536,0.05263503265948728
42,2.5081780539162173,0.6588702698959683,Female,53.948103887626864,15.817702213392307,0.47766688442226185,0.10739202587328929,0.14780302434966264,0.04333617044765015
43,2.0952247535086785,0.5824293140563755,Female,45.06464591082725,13.837855935060468,0.47766688442226185,0.10739202587328929,0.12346478331733494,0.037911934068658816
44,1.750076978757244,0.49347341589325167,Female,37.64083429801285,11.695420008535125,0.47766688442226185,0.10739202587328929,0.10312557341921329,0.03204224659872637
45,1.4621063765349975,0.4588317731599884,Female,31.445251986597338,10.693707367485453,0.47766688442226185,0.10739202587328929,0.08615137530574613,0.029297828404069734
46,1.221255530711449,0.3912610218997406,Female,26.2649935692552,9.092478265565624,0.47766688442226185,0.10739202587328929,0.07195888649111014,0.02491089935771404
47,1.0199249723764554,0.31569544591683146,Female,21.935514828143205,7.372346094268968,0.47766688442226185,0.10739202587328929,0.06009730089902248,0.020198208477449228
48,0.8517568065399246,0.25171414568597633,Female,18.319205968441846,5.919746823466179,0.47766688442226185,0.10739202587328929,0.05018960539299136,0.016218484447852545
49,0.7117327967455549,0.25099673233759623,Female,15.305988933612227,5.76242642273348,0.47766688442226185,0.10739202587328929,0.041934216256471854,0.015787469651324604
50,0.5947039110082707,0.24102657486219173,Female,12.787989224891776,5.455082416311315,0.47766688442226185,0.10739202587328929,0.03503558691751171,0.014945431277565247
51,0.49620008720126646,0.1411474399026784,Female,10.672272316920852,3.3402382044040233,0.47766688442226185,0.10739202587328929,0.02923910223813932,0.009151337546312392
52,0.4147237369707655,0.15374017865704315,Female,8.918433564197846,3.5100828694809856,0.47766688442226185,0.10739202587328929,0.024434064559446154,0.009616665395838317
53,0.34651405247055334,0.14496228667447078,Female,7.450950253526772,3.2717943204762108,0.47766688442226185,0.10739202587328929,0.020413562338429513,0.008963820056099208
54,0.28933184475541457,0.11196908908992048,Female,6.221751109416097,2.5452004032332085,0.47766688442226185,0.10739202587328929,0.01704589345045506,0.006973151789680023
55,0.24163851813859255,0.092312229535635,Female,5.196209036175989,2.1010674894240573,0.47766688442226185,0.10739202587328929,0.014236189140208189,0.005756349286093308
56,0.20179394940665987,0.07456993986115372,Female,4.33949091228372,1.703098975392749,0.47766688442226185,0.10739202587328929,0.01188901619803759,0.0046660245901171205
57,0.1686070115300474,0.0707277070133753,Female,3.6254800055908776,1.595954573246378,0.47766688442226185,0.10739202587328929,0.009932821933125693,0.004372478282866789
58,0.14080063866060044,0.05684011097763449,Female,3.0276620302884605,1.2869045735306714,0.47766688442226185,0.10739202587328929,0.008294964466543727,0.003525765954878552
59,0.11766842502146282,0.05625221745214621,Female,2.529892221468129,1.2569355593443292,0.47766688442226185,0.10739202587328929,0.0069312115656661065,0.0034436590666967926
60,0.0982651595204079,0.04573248134980275,Female,2.1127687957101844,1.0237379897767047,0.47766688442226185,0.10739202587328929,0.005788407659479957,0.0028047616158265883
61,0.08205234421097447,0.03606505622347607,Female,1.7642678098395344,0.8107278013019541,0.47766688442226185,0.10739202587328929,0.004833610437916532,0.002221172058361518
62,0.06856095580201363,0.03393320039627342,Female,1.474026078931895,0.7565435207009531,0.47766688442226185,0.10739202587328929,0.004038427613512041,0.0020727219745231592
63,0.05722798897607572,0.02433006345146249,Female,1.230534372026704,0.5483881450998732,0.47766688442226185,0.10739202587328929,0.003371327046648504,0.001502433274246228
64,0.04785578491297528,0.02748544795574045,Female,1.028721775736023,0.6079016306585764,0.47766688442226185,0.10739202587328929,0.0028184158239343096,0.001665483919612538
65,0.03992593783114498,0.01782876187422668,Female,0.8584656518886109,0.4002994667871649,0.47766688442226185,0.10739202587328929,0.0023519606901057834,0.0010967108679100408
