age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
0,982.8335472224563,27.09845226208568,Female,16993.645987411383,821.4277235178366,0.35998907659614787,0.126,46.55793421208598,2.2504869137474977,983.0272202971554,26.76769846202571,769.3864361638815,1256.0033646802483,931.524393281086,1036.2953702858442,1011.0281510207157,967.3705457594826
1,5233.540643933185,177.50983582874184,Female,86903.17201649211,4648.819243834763,0.35998907659614787,0.0972,238.0908822369647,12.736491078999352,6072.85586571626,202.1109141391612,5535.553912168357,6662.310525657563,5685.349046098638,6476.221233545529,6245.83746060911,5976.133490342998
2,1648.1976339015366,40.358506964569955,Female,27767.985424051265,1319.6083343871487,0.35998907659614787,0.10738798806596893,76.076672394661,3.6153652996908185,7675.179520625737,162.24500835395656,6967.941305158875,8454.206441098631,7362.087535640815,7997.123054180207,7893.802327411253,7552.936936400731
3,1579.4361265295101,14.436330424535248,Female,26609.442945627536,1108.8105015137216,0.35998907659614787,0.10738798806596893,72.90258341267818,3.0378369904485525,9210.791417666447,147.98488250009774,8289.283267252153,10234.75164704994,8924.518955918167,9503.733288496986,9473.155192615914,9064.091142757276
4,1469.1785071485237,8.591593041237573,Female,24751.868424821827,1016.2571658730659,0.35998907659614787,0.10738798806596893,67.81333815019678,2.7842662078714135,10639.339994278627,156.47160969809548,9483.196268202955,11936.44895185935,10336.4523389406,10948.881589877052,10942.395104018258,10469.887226189752
5,1336.6620209716377,19.059814523863867,Female,22519.34639043048,970.7262185272729,0.35998907659614787,0.10738798806596893,61.696839425836934,2.65952388637609,11939.114939596924,175.29878709489262,10546.18357380764,13516.0433967942,11599.778909339151,12285.897610860018,12279.19334579123,11748.960655953964
6,1195.6928239950053,17.279608131531578,Female,20144.375707965137,869.656447126923,0.35998907659614787,0.10738798806596893,55.1900704327812,2.3826204030874605,13101.81252962314,192.3674866476694,11481.57580621025,14950.716130207553,12729.435588346489,13482.361106317529,13475.009667423814,12893.139961463834
7,1055.5819179196417,5.7488968254313075,Female,17783.83120775031,729.1476816262659,0.35998907659614787,0.10738798806596893,48.72282522671318,1.997664881167852,14128.199527463556,198.0462145404704,12296.878890071774,16232.277999184602,13744.707541683503,14519.85811750744,14530.632672801645,13903.179693589647
8,922.3748970388565,3.7064692590726502,Female,15539.632105717274,634.462038712678,0.35998907659614787,0.10738798806596893,42.57433453621171,1.7382521608566521,15025.054546560485,201.70744399099652,13002.173411647467,17362.68437737255,14634.361842257524,15423.841054388791,15453.034060035983,14785.750502797417
9,799.3214733278475,3.3013288305721415,Female,13466.500394946279,549.9762614719588,0.35998907659614787,0.10738798806596893,36.894521629989804,1.5067842780053664,15802.21989854219,198.44640997303577,13608.465882422706,18349.64565047331,15417.683754622803,16194.397286522442,16252.336492998023,15550.537942218109
10,688.1313924348312,6.758993474261854,Female,11593.24855710453,484.9212294651991,0.35998907659614787,0.10738798806596893,31.762324813985018,1.3285513136032852,16471.25524485279,191.76991430176912,14127.035898343134,19204.496330740498,16099.493263848455,16850.07298921341,16940.42890303672,16208.91756256802
11,589.2498386082127,8.675775135319258,Female,9927.358064186594,429.49895711547924,0.35998907659614787,0.10738798806596893,27.19824127174409,1.176709471549258,17044.13686263004,183.2000325055498,14568.746211649112,19940.146771649823,16688.836170065668,17405.871581476917,17529.62870423857,16772.67489481893
12,502.3912453311433,8.78208737010821,Female,8464.016928532381,374.8762428452786,0.35998907659614787,0.10738798806596893,23.18908747543118,1.027058199576106,17532.564883176387,174.52513608280748,14943.72193221647,20569.91850965836,17193.959699262694,17877.04013057368,18031.969299009088,17253.32372228204
13,426.8172019826295,7.811229497605241,Female,7190.787391799056,320.8844858805946,0.35998907659614787,0.10738798806596893,19.700787374791936,0.8791355777550537,17947.517365664335,166.80924759635985,15261.163990018646,21106.75621314152,17623.77996284476,18276.65934203012,18458.74144983969,17661.6672565814
14,361.55742139235224,5.975613692333938,Female,6091.323373538694,267.5241879729622,0.35998907659614787,0.10738798806596893,16.688557187777242,0.7329429807478416,18299.027763530143,160.90657005983712,15529.288974347484,21562.783008908093,17986.67122999306,18616.44679075268,18820.26440696736,18007.5791483404
15,305.55110105514814,2.364000273476895,Female,5147.749951436629,213.00373930147157,0.35998907659614787,0.10738798806596893,14.103424524483914,0.5835718884971823,18596.10321716741,158.57142390932756,15755.344916401233,21949.07967198554,18288.240587860277,18908.87595258347,19125.80187368546,18299.923081227585
