ID,sex,age_yrs,length_m,Details,source
6,Female,0,4.75,,Rice and Wolman (1971)
17,Female,1.21,9.43,Calf (JJ),Sumich (2001); Sumich et al. (2013)
19,Female,1.11,8.2,Calf (Gigi II),Sumich (1986)- cited Wahrenbrock pers. comm; Sumich et al. 2013- cited Wahrenbrock et al. 1974)
37,Unknown,0,4.877,Vega expedition @ Magdalena Bay,Risting (1928)
38,Unknown,0,4.572,Vega expedition @ Magdalena Bay,Risting (1928)
39,Unknown,0,5.182,Vega expedition @ Magdalena Bay,Risting (1928)
40,Unknown,0,4.877,Vega expedition @ Magdalena Bay,Risting (1928)
41,Unknown,0,5.182,Vega expedition @ Magdalena Bay,Risting (1928)
42,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
43,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
44,Male,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
45,Female,1,9.144,Vega expedition @ Magdalena Bay (~1 yr old),Risting (1928)
182,Female,55,13.8,56 ear plug growth layers,Zimushko (1970); Yablokov and Bogoslovskaya (1984)
183,Male,41,12.9,42 ear plug growth layers,Zimushko (1970); Yablokov and Bogoslovskaya (1984)
188,Female,78,13.98,35 corpora / 41 ear plug growth layers,Rice and Wolman (1971)
189,Female,52,14.2,22 corpora / 43 laminae in ear plugs,Rice and Wolman (1971)
191,Male,20,12.75,21 growth layers in ear plug,Rice and Wolman (1971)
193,Male,22,13.23,23 growth layers in ear plug,Rice and Wolman (1971)
194,Male,0,4.86,Near term foetuses,Rice and Wolman (1971)
195,Female,0,4.58,Near term foetuses,Rice and Wolman (1971)
196,Male,0,4.53,Near term foetuses,Rice and Wolman (1971)
197,Male,0,4.65,Near term foetuses,Rice and Wolman (1971)
198,Male,0,4.67,Near term foetuses,Rice and Wolman (1971)
199,Female,0,4.5,Near term foetuses,Rice and Wolman (1971)
200,Male,0,4.15,Near term foetuses,Rice and Wolman (1971)
201,Male,0,4.07,Near term foetuses,Rice and Wolman (1971)
202,Male,0,4.54,Near term foetuses,Rice and Wolman (1971)
203,Male,0,4.84,Near term foetuses,Rice and Wolman (1971)
204,Female,0,4.55,Near term foetuses,Rice and Wolman (1971)
205,Female,0,4.78,Near term foetuses,Rice and Wolman (1971)
206,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
207,Male,0,3.85,Near term foetuses,Rice and Wolman (1971)
208,Male,0,4.62,Near term foetuses,Rice and Wolman (1971)
209,Male,0,4.63,Near term foetuses,Rice and Wolman (1971)
210,Female,0,5.08,Near term foetuses,Rice and Wolman (1971)
211,Male,0,4.62,Near term foetuses,Rice and Wolman (1971)
212,Male,0,4.79,Near term foetuses,Rice and Wolman (1971)
213,Male,0,4.22,Near term foetuses,Rice and Wolman (1971)
214,Male,0,4.89,Near term foetuses,Rice and Wolman (1971)
215,Female,0,3.6,Near term foetuses,Rice and Wolman (1971)
216,Male,0,4.52,Near term foetuses,Rice and Wolman (1971)
217,Male,0,4.81,Near term foetuses,Rice and Wolman (1971)
218,Female,0,4.32,Near term foetuses,Rice and Wolman (1971)
219,Male,0,4.7,Near term foetuses,Rice and Wolman (1971)
220,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
221,Female,0,5.12,Near term foetuses,Rice and Wolman (1971)
222,Female,0,5.24,Near term foetuses,Rice and Wolman (1971)
223,Male,0,4.72,Near term foetuses,Rice and Wolman (1971)
224,Female,0,4.58,Near term foetuses,Rice and Wolman (1971)
225,Male,0,4.77,Near term foetuses,Rice and Wolman (1971)
226,Male,0,5.31,Near term foetuses,Rice and Wolman (1971)
227,Female,0,4.42,Near term foetuses,Rice and Wolman (1971)
228,Female,0,4.44,Near term foetuses,Rice and Wolman (1971)
229,Female,0,4.93,Near term foetuses,Rice and Wolman (1971)
230,Female,0,4.54,Near term foetuses,Rice and Wolman (1971)
231,Female,0,4.92,Near term foetuses,Rice and Wolman (1971)
232,Male,0,4.72,Near term foetuses,Rice and Wolman (1971)
233,Female,0,4.24,Near term foetuses,Rice and Wolman (1971)
234,Male,0,4.52,Near term foetuses,Rice and Wolman (1971)
235,Male,0,5.24,Near term foetuses,Rice and Wolman (1971)
236,Female,0,4.43,Near term foetuses,Rice and Wolman (1971)
237,Female,0,4.11,Near term foetuses,Rice and Wolman (1971)
238,Female,0,4.73,Near term foetuses,Rice and Wolman (1971)
239,Female,0,4.33,Near term foetuses,Rice and Wolman (1971)
240,Female,0,5.11,Near term foetuses,Rice and Wolman (1971)
241,Male,0,4.59,Near term foetuses,Rice and Wolman (1971)
242,Male,0,4.41,Near term foetuses,Rice and Wolman (1971)
243,Male,0,4.48,Near term foetuses,Rice and Wolman (1971)
244,Male,0,4.26,Near term foetuses,Rice and Wolman (1971)
245,Male,0,4.53,Near term foetuses,Rice and Wolman (1971)
246,Female,0,4.8,Near term foetuses,Rice and Wolman (1971)
247,Male,0,4.39,Near term foetuses,Rice and Wolman (1971)
248,Female,0,4.75,Near term foetuses,Rice and Wolman (1971)
249,Female,3,9.2,From Chukotka (1980),Blokhin (1982)
250,Male,4,11.6,From Chukotka (1980),Blokhin (1982)
251,Female,5,10.5,From Chukotka (1980),Blokhin (1982)
252,Male,5,10.4,From Chukotka (1980),Blokhin (1982)
253,Female,6,10.8,From Chukotka (1980),Blokhin (1982)
254,Male,6,11.2,From Chukotka (1980),Blokhin (1982)
255,Female,7,11.6,From Chukotka (1980),Blokhin (1982)
256,Female,7,11.8,From Chukotka (1980),Blokhin (1982)
257,Female,9,12,From Chukotka (1980),Blokhin (1982)
258,Female,9,12,From Chukotka (1980),Blokhin (1982)
259,Female,9,13,From Chukotka (1980),Blokhin (1982)
260,Female,9,13.2,From Chukotka (1980),Blokhin (1982)
261,Female,12,12.5,From Chukotka (1980),Blokhin (1982)
262,Male,12,11.5,From Chukotka (1980),Blokhin (1982)
263,Male,12,12.1,From Chukotka (1980),Blokhin (1982)
264,Female,14,12.2,From Chukotka (1980),Blokhin (1982)
265,Female,14,12.5,From Chukotka (1980),Blokhin (1982)
