age_yrs,mean_masschange,sd_masschange,sex
0,982.8522387960112,27.09845226208568,N/A
1,5088.682419898889,177.50983582874184,N/A
2,1602.5842599087691,40.35850696456996,N/A
3,1535.7051160461456,14.436330424535244,N/A
4,1428.4930985415865,8.591593041237573,N/A
5,1299.6518713167022,19.059814523863867,N/A
6,1162.5860112636792,17.279608131531578,N/A
7,1026.349875772089,5.748896825431309,N/A
8,896.8310854955328,3.7064692590726493,N/A
9,777.1866694897658,3.3013288305721367,N/A
10,669.078990826269,6.758993474261864,N/A
11,572.9376394327332,8.675775135319249,N/A
12,488.4847286865887,8.782087370108215,N/A
13,415.00292155546583,7.8112294976052405,N/A
14,351.54898390179375,5.975613692333939,N/A
15,297.0907185798007,2.3640002734769014,N/A
16,250.56434348965684,0.5649071662064695,N/A
17,210.98633032817028,2.562824782964893,N/A
18,177.41525750534973,4.11477505239611,N/A
19,149.0224652058663,5.948768916377713,N/A
20,125.0535732518406,6.454853091954607,N/A
21,104.85740951685567,6.4290074635934165,N/A
22,87.8708107710086,7.00351387833712,N/A
23,73.59301793084548,6.589984153308459,N/A
24,61.61146679919198,6.724537865196005,N/A
25,51.55615249502949,5.786827961570273,N/A
26,43.13039562176436,5.275762097694996,N/A
27,36.07263325522768,4.822449227366312,N/A
28,30.164747849192732,4.584890821305299,N/A
29,25.217182668101113,3.9005098672858725,N/A
30,21.07986785317139,3.5940083560212726,N/A
31,17.619063739917546,3.2687576752358973,N/A
32,14.723785894373695,2.800489869833668,N/A
33,12.302988270153447,2.372005773635781,N/A
34,10.27918002773042,1.9750012324834305,N/A
35,8.58952866168252,1.8814122241314837,N/A
36,7.176303063859549,1.6383853952021843,N/A
37,5.995464876289062,1.4413646455366886,N/A
38,5.0081584725540305,1.18772220882325,N/A
39,4.184265831162442,1.1030633028546006,N/A
40,3.4950350834412953,0.9115471023106536,N/A
41,2.919655704967477,0.8029419678395175,N/A
42,2.4385949769689055,0.6588702698959684,N/A
43,2.0370922953833506,0.5824293140563742,N/A
44,1.7015194696129416,0.49347341589325167,N/A
45,1.4215305525555453,0.4588317731599884,N/A
46,1.1873622756092919,0.3912610218997406,N/A
47,0.9916211817717598,0.31569544591683146,N/A
48,0.8281219596792653,0.25171414568597633,N/A
49,0.6919761132260374,0.25099673233759623,N/A
50,0.5781901840868678,0.24102657486219173,N/A
51,0.4824323350487775,0.14114743990267983,N/A
52,0.40321026108182595,0.15374017865705325,N/A
53,0.3368912477446123,0.144962286674462,N/A
54,0.2812986302946738,0.1119690890899177,N/A
55,0.2349297095970036,0.09231222953563499,N/A
56,0.19619182912307623,0.07456993986115372,N/A
57,0.1639247072324455,0.07072770701336799,N/A
58,0.1368909293902252,0.05684011097764181,N/A
59,0.11439947912112221,0.05625221745215405,N/A
60,0.09553547808713775,0.045732481349794914,N/A
61,0.07977341371065012,0.036065056223476076,N/A
62,0.06665605730790812,0.03393320039626649,N/A
63,0.05563868006487064,0.024330063451469427,N/A
64,0.04652547958554678,0.027485447955740455,N/A
65,0.038816980558481734,0.017828761874226683,N/A
66,0.032423880807180464,0.015446443945978208,N/A
67,0.027084299917795214,0.013439767705630788,N/A
68,0.022648588052117703,0.014777051007436391,N/A
69,0.01889733742036624,0.01000577894781984,N/A
70,0.01580391332247964,0.011021817511688474,N/A
71,0.013173139756897581,0.005908622120554444,N/A
72,0.01102318834117359,0.007606901914952598,N/A
73,0.009199013081135127,0.005416422512570634,N/A
74,0.007681299436041445,0.004321702209313618,N/A
75,0.006422235888680371,0.004482806866144959,N/A
0,982.8522387960112,27.09845226208568,Female
1,5233.663084068178,177.50983582874184,Female
2,1648.2254718014356,40.358506964569955,Female
3,1579.4460842100957,14.436330424535248,Female
4,1469.184433331751,8.591593041237573,Female
5,1336.6751677713762,19.059814523863867,Female
6,1195.704742870049,17.279608131531578,Female
7,1055.5858833095035,5.7488968254313075,Female
8,922.3774536329422,3.7064692590726502,Female
9,799.3237504701015,3.3013288305721415,Female
10,688.136054554367,6.758993474261854,Female
11,589.2558228573321,8.675775135319258,Female
12,502.3973029107591,8.78208737010821,Female
13,426.8225898981199,7.811229497605241,Female
14,361.56154316365433,5.975613692333938,Female
15,305.5527316606369,2.364000273476895,Female
16,257.7014120658581,0.564907166206477,Female
17,216.99661862843945,2.562824782964894,Female
18,182.46957972614953,4.114775052396116,Female
19,153.2683733856669,5.94876891637771,Female
20,128.61683524984304,6.454853091954603,Female
21,107.84539135672877,6.4290074635934165,Female
22,90.3750453768776,7.00351387833712,Female
23,75.69048225623943,6.589984153308459,Female
24,63.367668697929325,6.724537865196005,Female
25,53.025762425777025,5.786827961570273,Female
26,44.359909006904665,5.275762097695,Female
27,37.101027206377744,4.822449227366322,Female
28,31.024815594041225,4.584890821305284,Female
29,25.936196158011256,3.9005098672858747,Female
30,21.68097607925616,3.594008356021281,Female
31,18.12153324829145,3.268757675235889,Female
32,15.143699050546386,2.800489869833663,Female
33,12.653867671238414,2.372005773635777,Female
34,10.572339464175847,1.9750012324834394,Female
35,8.834542195748472,1.881412224131483,Female
36,7.381017028697991,1.638385395202185,Female
37,6.166507147480316,1.4413646455366886,Female
38,5.151031270424981,1.18772220882325,Female
39,4.303654978325461,1.1030633028546006,Female
40,3.5947566874535974,0.9115471023106536,Female
41,3.002968002531156,0.8029419678395163,Female
42,2.5081780539162173,0.6588702698959683,Female
43,2.0952247535086785,0.5824293140563755,Female
44,1.750076978757244,0.49347341589325167,Female
45,1.4621063765349975,0.4588317731599884,Female
46,1.221255530711449,0.3912610218997406,Female
47,1.0199249723764554,0.31569544591683146,Female
48,0.8517568065399246,0.25171414568597633,Female
49,0.7117327967455549,0.25099673233759623,Female
50,0.5947039110082707,0.24102657486219173,Female
51,0.49620008720126646,0.1411474399026784,Female
52,0.4147237369707655,0.15374017865704317,Female
53,0.34651405247055334,0.14496228667447078,Female
54,0.28933184475541457,0.11196908908992047,Female
55,0.24163851813859255,0.09231222953563499,Female
56,0.20179394940665987,0.07456993986115372,Female
57,0.1686070115300474,0.0707277070133753,Female
58,0.14080063866060044,0.05684011097763449,Female
59,0.11766842502146282,0.056252217452146216,Female
60,0.0982651595204079,0.04573248134980275,Female
61,0.08205234421097447,0.036065056223476076,Female
62,0.06856095580201363,0.03393320039627342,Female
63,0.05722798897607572,0.024330063451462495,Female
64,0.047855784912975284,0.027485447955740455,Female
65,0.03992593783114498,0.017828761874226683,Female
66,0.0333502963450137,0.015446443945978208,Female
67,0.027858251671012475,0.013439767705630788,Female
68,0.023296437222608803,0.014777051007436391,Female
69,0.01943745692160446,0.01000577894781984,Female
70,0.01625610540435082,0.01102181751168877,Female
71,0.013549455384253815,0.005908622120557627,Female
72,0.011338576281821224,0.007606901914949121,Female
73,0.00946203760647295,0.0054164225125789426,Female
74,0.007900891452987344,0.004321702209297367,Female
75,0.006605993890776881,0.004482806866152903,Female
0,982.8522387960112,27.09845226208568,Male
1,5007.616719063299,177.50983582874184,Male
2,1577.0640510570256,40.358506964569955,Male
3,1511.2474253619798,14.436330424535244,Male
4,1405.7406053618831,8.591593041237571,Male
5,1278.9503557626174,19.059814523863864,Male
6,1144.0677267473338,17.27960813153158,Male
7,1010.002610057486,5.7488968254313075,Male
8,882.5468756063731,3.7064692590726502,Male
9,764.8087569287532,3.3013288305721322,Male
10,658.4232648655801,6.758993474261892,Male
11,563.8133539063944,8.67577513531923,Male
12,480.70553560334963,8.782087370108215,Male
13,408.3939733668793,7.811229497605238,Male
14,345.95047779498424,5.975613692333938,Male
15,292.35919782972104,2.3640002734769014,Male
16,246.57366328856494,0.5649071662064701,Male
17,207.62568747226337,2.562824782964894,Male
18,174.58914151652905,4.114775052396116,Male
19,146.64837260358252,5.948768916377706,Male
20,123.06118114365792,6.454853091954607,Male
21,103.18668436657445,6.4290074635934165,Male
22,86.47057209404424,7.003513878337121,Male
23,72.42022418976218,6.589984153308458,Male
24,60.62948938485584,6.724537865196004,Male
25,50.734422510043764,5.786827961570273,Male
26,42.44291522687944,5.275762097695,Male
27,35.49760846235409,4.822449227366322,Male
28,29.683842378787173,4.584890821305287,Male
29,24.815147453242925,3.9005098672858725,Male
30,20.743759173408268,3.594008356021281,Male
31,17.338108737543585,3.2687576752358827,Male
32,14.488992141083257,2.8004898698336693,Male
33,12.106794627912183,2.372005773635786,Male
34,10.11526040914798,1.9750012324834265,Male
35,8.452529745546737,1.8814122241314875,Male
36,7.061837585815836,1.6383853952021843,Male
37,5.899826870589481,1.4413646455366838,Male
38,4.928271381702911,1.1877222088232546,Male
39,4.117509585125767,1.1030633028546006,Male
40,3.439275911940757,0.9115471023106535,Male
41,2.873071770284035,0.8029419678395177,Male
42,2.3996877135009154,0.6588702698959671,Male
43,2.0045876266657574,0.5824293140563755,Male
44,1.6743686179276538,0.49347341589325666,Male
45,1.3988426470620288,0.4588317731599834,Male
46,1.1684109175503117,0.3912610218997398,Male
47,0.975795163626593,0.31569544591683224,Male
48,0.81490657378163045,0.2517141456859763,Male
49,0.6809291960010035,0.2509967323375963,Male
50,0.5689565607330773,0.2410265748621951,Male
51,0.47473411899523343,0.14114743990267503,Male
52,0.3967725199018467,0.15374017865705472,Male
53,0.33151067225041186,0.144962286674462,Male
54,0.27680687158722866,0.1119690890899177,Male
55,0.23117849029945572,0.09231222953564183,Male
56,0.19305941273656427,0.07456993986115111,Male
57,0.16130660445728426,0.07072770701336376,Male
58,0.13470482185731636,0.056840110977635167,Male
59,0.11257165337628394,0.056252217452160684,Male
60,0.09400918119167473,0.045732481349794914,Male
61,0.07849915345127338,0.036065056223469054,Male
62,0.06559093643568122,0.03393320039628044,Male
63,0.054750020591592695,0.02433006345145258,Male
64,0.045781641540237616,0.02748544795575037,Male
65,0.03819690891687096,0.017828761874231255,Male
66,0.03190587707024242,0.015446443945973633,Male
67,0.02665154606965043,0.013439767705630788,Male
68,0.022286344246831867,0.014777051007439397,Male
