Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Juvenile/Adult,1,597.2529854786253,41.62264507768768,509.031571642758,685.5892356603282,597.2529854786253,41.62264507768768,509.031571642758,48.16249431887064,3.6395054952931702,40.268910313455734,55.98215444441373,,
Juvenile/Adult,2,524.8567071710073,57.7768427428488,397.4478673797548,652.6861676845278,1243.9785592040107,136.93862078662215,942.0030622961722,428.5662085690836,43.07494490604056,332.0645546814342,522.6413278305788,5.578600958646731,0.4933721940166572
Juvenile/Adult,3,623.8442605962493,68.84114833040782,470.72286571173754,775.9394113881095,1478.591916348253,163.1624619519406,1115.674324576521,509.40443308542143,51.46340639286931,393.9707582446582,621.1712997290512,5.52629714342142,0.5077965507391621
Juvenile/Adult,4,715.8643663660162,79.95187568244509,537.8976450172592,892.2822317184996,1696.6915176856878,189.4963287278731,1274.8872755279197,584.5422622244303,59.89398255987932,449.8731475767936,714.3816264418391,5.4901939538843285,0.5167940412623152
Juvenile/Adult,5,799.5070863747716,90.56629851722612,597.9285077175174,1000.3812908349236,1894.935626797348,214.65388934277615,1417.1682163434666,652.8330383772303,67.95069822997775,499.5695628379748,800.305909027413,5.464006337773253,0.5233613072329126
Juvenile/Adult,6,874.0972859678842,100.13827978479848,650.413071072902,1096.335207538124,2071.724086871933,237.340728061373,1541.5634476727869,713.7322343713505,75.22410397995043,543.7148400898403,877.2558667229896,5.443530567642844,0.5286117669716305
Juvenile/Adult,7,939.6576862298172,108.52566140505152,697.1343372015702,1180.3316877376542,2227.110749830411,257.21991177171304,1652.2989160946308,767.2602523235222,81.60532468574293,582.8175402872296,944.679273130385,5.426761391952274,0.5342099243753912
Juvenile/Adult,8,996.802107464596,115.84565627004116,737.8693510782837,1253.738223774845,2362.5504495102437,274.5692502504222,1748.846189243984,813.9171379244473,87.17815165876249,616.9910917954238,1003.6521892844188,5.413238676040669,0.5387262824523945
Juvenile/Adult,9,1046.0549561873968,122.07099126695698,773.3591959441932,1317.0923859330344,2479.2860974571418,289.32410267817727,1832.9617306469515,854.1324881425196,91.9233396867997,646.5325575701055,1054.103250339663,5.401505878063615,0.5429307220578964
Juvenile/Adult,10,1088.3995404549942,127.43418934601712,803.4981299131813,1371.060121265884,2579.648261468006,302.03557864478086,1904.394918300722,888.7072414236665,96.0132571817527,671.9876672395736,1097.7473297026208,5.392077694290895,0.546941841164721
Juvenile/Adult,11,1124.5334308491822,131.93982895369743,828.66974870148,1417.3212217805274,2665.29027441527,312.71452966298415,1964.054923870391,918.2122281541506,99.45287067298516,694.0217124178778,1134.920963989962,5.384054895464245,0.5502905947807519
Juvenile/Adult,12,1155.3254443390747,135.76815935619888,850.9270764276613,1457.1451604556044,2738.2713453491056,321.78816990267916,2016.8076811434833,943.3556430257972,102.37693702217696,712.8114862641143,1166.454507560616,5.377586561321107,0.5531624513245095
Juvenile/Adult,13,1181.4697167120323,138.99361188980745,870.0814391041821,1490.9464932486146,2800.2366662330633,329.4329112972709,2062.2060082664057,964.7044204490984,104.84214146691968,728.8468001813901,1193.5851976429503,5.372310592545187,0.5554443401738378
Juvenile/Adult,14,1203.6446638887608,141.7423318716928,886.282730443574,1519.210463636722,2852.7941709051797,335.9477346309602,2100.6051728045745,982.8117989959349,106.94311986820644,742.2926972349607,1216.1527930120485,5.3681451948372425,0.5572610918636719
Juvenile/Adult,15,1222.431824409189,144.07235930718122,899.99372667932,1542.8845236744571,2897.3221812295715,341.47020225403344,2133.1020145321545,998.1528305574004,108.72427997137812,753.3300253315136,1235.130622282634,5.36491472290906,0.558354068492738
Juvenile/Adult,16,1238.344992871473,146.10944707588249,911.42510913407,1563.240507591585,2935.03845713044,346.2983648227085,2160.195875545036,1011.1460329708348,110.2797269498266,762.6258095803288,1251.5624451048664,5.362534123587693,0.5592900201589502
Juvenile/Adult,17,1251.7990977935074,147.87051004476044,920.9818208037752,1580.628182807877,2966.9264330820142,350.47231276842575,2182.8465233336233,1022.130757011162,111.62320112634436,770.4460319679455,1265.505364772505,5.360759226676726,0.5597610368275516
Juvenile/Adult,18,1263.1652836199007,149.40519164545714,928.9182977130145,1595.5484324152762,2993.865769618596,354.10970747137566,2201.657004319806,1031.4100221344763,112.79265362545068,777.0155403126028,1277.278858322427,5.359484673709012,0.5600460146169477
Juvenile/Adult,19,1272.805679097062,150.77642977056755,935.4490260804008,1608.538782502624,3016.714758898881,357.35971991076076,2217.135678697054,1039.279212442322,113.83543623569608,782.5329884475274,1287.47946580709,5.358777184572009,0.5601982865894384
Juvenile/Adult,20,1280.9134798752314,151.93612720452785,940.910520756326,1619.5287934448015,3035.931299704282,360.1083534393031,2230.0801303640187,1045.8972992945155,114.71730144620491,787.1941185261569,1296.1264837808087,5.358244581934447,0.5601419485170787
Juvenile/Adult,21,1287.758684555282,152.9371903822008,945.444720193868,1628.50886551579,3052.1553237836233,362.48100317859286,2240.826771888064,1051.4844253684762,115.47797300611356,791.1402102829242,1303.724653451209,5.357980257311623,0.560047206773231
Juvenile/Adult,22,1293.5315326642017,153.8120047927774,949.2024479928248,1636.1380255587262,3065.837723522296,364.5544269439204,2249.733074788189,1056.1957727597098,116.14187586477416,794.4269659995756,1309.7199075145768,5.35788466856159,0.5598572257575742
Juvenile/Adult,23,1298.3997231878814,154.55266395324335,952.3404476002524,1642.4136975959673,3077.3759672959523,366.30988534372614,2257.1705413902087,1060.1687787051785,116.70397251484452,797.2436771612449,1315.0786878571412,5.3579325042988595,0.5596247459556009
Juvenile/Adult,24,1302.5003025451813,155.20029437210337,954.830053727056,1647.720923515975,3087.094872915527,367.84485354427096,2263.0712312362043,1063.5149293505938,117.19485748039634,799.4471106427461,1319.3965518931484,5.358054728797107,0.559351892083147
Juvenile/Adult,25,1305.9290278455,155.715385098454,956.8615300102488,1652.0959898571316,3095.2213971662827,369.0656854606214,2267.8860938554594,1066.3132888245914,117.58602929918696,801.3554040806192,1322.9117050700436,5.3581478500707,0.5590150822497197
Juvenile/Adult,26,1308.846719496246,156.18418212317903,958.7056607040658,1655.8266727861092,3102.136705299544,370.1767952919503,2272.256923097299,1068.6940635409112,117.94123277644852,802.7701375579061,1325.8887537228702,5.358417011180517,0.5588007141425658
Juvenile/Adult,27,1311.2806762010453,156.57254279474787,960.1227810397536,1658.9387632842186,3107.9054987881914,371.0972605200193,2275.6156823344804,1070.6801680377955,118.23558845131586,803.9593966357401,1328.3723077471911,5.358610586280898,0.5585524746391267
Juvenile/Adult,28,1313.3358573933367,156.9125861769084,961.2763728824424,1661.5725725288987,3112.776545120571,371.903207497218,2278.349844818776,1072.3569922138429,118.4930295830118,804.9285226526767,1330.4729174087283,5.358843727875714,0.5583191350751873
Juvenile/Adult,29,1315.0615555708243,157.18845564226322,962.2630661774782,1663.8091179957262,3116.866673917863,372.5570539573121,2280.688436069997,1073.7651588477167,118.7021473655335,805.7803214627951,1332.2151390068857,5.359069844552636,0.5580889700057781
Juvenile/Adult,30,1316.5032450182748,157.4241843189658,963.0781537186488,1665.9326188120008,3120.283665140716,373.1157615352112,2282.620299398096,1074.941484465377,118.88070528327266,806.4848396419892,1333.6826914904143,5.359249709427949,0.5578672344606302
