phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,GERcalf7to9.6mths,mass,mass_sd,pctbodywt,pctbodywt_sd
Lactating,8,all,1225.7297945246278,108.93641360621811,990.0529579776558,1463.0066921605498,3759.5913865671355,334.13269719554296,3036.717055981885,4487.373467551267,1296.6861735033194,116.93283350059419,1046.1832617199732,1551.1589621618118,78807.66401545325,15025.054546560485,201.70744399099652,8.624727216404237,0.7052503232235645
Lactating,8,P_cost,1224.419997812404,8.940811900560563,1206.5477201826395,1241.9120817939784,3755.573942869979,27.42349868659332,3700.755612324903,3809.226133233631,1295.025497541372,9.456378857445973,1276.1226249396216,1313.526252839183,78807.66401545325,15025.054546560485,0,8.619106796106957,0.06293740117975623
Lactating,8,Es,1223.6338513103435,88.39414252104271,1016.1506835222001,1429.4823939022017,3753.1626531787847,271.12489092588726,3116.7647015596895,4384.546838439527,1294.194018337512,93.49134169858183,1074.7464488136861,1511.9127029101817,78807.66401545325,15025.054546560485,0,8.613572844790617,0.6222362881203899
Lactating,8,GERcalf,1224.426092685461,1.468698345287722,1223.4812914195454,1226.9677113989517,3755.5926372285153,4.5048310590757294,3752.694717379278,3763.388358492583,1295.0319438719018,1.5533900203708928,1294.0326611652683,1297.720123618132,78807.66401545325,15025.054546560485,0,8.619149699981348,0.010338664765289916
Lactating,8,E_FnU,1226.5103161779002,52.138475770021984,1144.2545583959206,1316.4022345014553,3761.985423570871,159.92053492485735,3509.6883513824464,4037.7043327145475,1297.2363529554727,55.14501204305426,1210.237362545671,1392.3118388670855,78807.66401545325,15025.054546560485,0,8.633821254595274,0.367020378343172
Lactating,9,all,1269.3411509766704,113.4629004456607,1023.5525192868549,1516.771698167377,3893.3573118191994,348.01645935013573,3139.4678112580004,4652.282939757081,1342.8219624634692,121.76992786356838,1081.6215387010525,1608.2837423926446,78807.66401545325,15802.21989854219,198.44640997303577,8.49260093147652,0.7036285066312894
Lactating,9,P_cost,1268.0042795735903,7.769319830229398,1252.4842001546554,1283.23849202943,3889.256823902189,23.830266706165798,3841.6532189617574,3935.9836100062344,1341.123042724893,8.217333346953723,1324.7080065385371,1357.235727588357,78807.66401545325,15802.21989854219,0,8.48692811095874,0.05200113275041693
Lactating,9,Es,1267.169942985428,93.45404416827961,1047.5249093055265,1484.7440908359945,3886.697724283035,286.64475732287445,3212.996570558968,4554.047001303681,1340.2405945803569,98.84301976650843,1107.9298519168856,1570.3610349323037,78807.66401545325,15802.21989854219,0,8.48134378071779,0.625500849887724
Lactating,9,GERcalf,1268.0095554964573,1.4518692458231701,1267.0685275014475,1270.5217302253018,3889.2730063546805,4.453212392650928,3886.3866599834314,3896.9784162372703,1341.1286228809245,1.5355904802244271,1340.1333310287696,1343.7856607714725,78807.66401545325,15802.21989854219,0,8.486963423440578,0.009717561773495892
Lactating,9,E_FnU,1270.167975055329,53.992619393068125,1185.0088697065269,1363.2999309802278,3895.8933688671855,165.60761410478878,3634.6910709485915,4181.550208468766,1343.4115065059261,57.106073829237516,1253.3417486029628,1441.91386498923,78807.66401545325,15802.21989854219,0,8.501410024232484,0.3613800731535558
Lactating,10,all,1306.7282968594052,117.33541220666665,1051.9081666078457,1563.0640437405393,4008.032171039352,359.8943315582632,3226.441015225745,4794.2720669352675,1382.3732334039917,125.90821103594324,1111.8620080920502,1657.06073973591,78807.66401545325,16471.25524485279,191.76991430176912,8.387917970135362,0.7032624089098661
Lactating,10,P_cost,1305.3686220165066,6.72376937219908,1291.9774928774236,1318.5731155622864,4003.8617397985286,20.62332622565264,3962.7881084055434,4044.3629174809626,1380.641979240872,7.111491801949186,1366.4786580708771,1394.607902579642,78807.66401545325,16471.25524485279,0,8.382129708495155,0.04317516604674985
Lactating,10,Es,1304.4925620568329,97.80540233512544,1074.5267060069825,1532.4190688084798,4001.174665132303,299.991360103536,3295.8172075004095,4700.276975757102,1379.7154017697596,103.44529658742621,1136.4886922415205,1620.7851640541733,78807.66401545325,16471.25524485279,0,8.37650428737613,0.6280352957298292
Lactating,10,GERcalf,1305.3731656044938,1.4240962311199967,1304.4430180823367,1307.8369367261055,4003.875676013784,4.368026255115925,4001.022702521453,4011.4326210506597,1380.6467848323393,1.5062159500399857,1379.6630008694667,1383.2526279485035,78807.66401545325,16471.25524485279,0,8.382158884118967,0.009144512228420968
Lactating,10,E_FnU,1307.5951941202557,55.58191132678597,1219.9484938172227,1403.513024346088,4010.6911416293556,170.48233306115023,3741.8588255738346,4304.892889801027,1382.996945389433,58.787011400396636,1290.2961467495982,1484.4458240693195,78807.66401545325,16471.25524485279,0,8.396427138251134,0.3569066869919788
Lactating,11,all,1338.5503280112414,120.56595867588923,1076.457547219132,1602.212114852503,4105.637560706749,369.80315056050057,3301.739535588094,4914.348083371123,1416.03720337873,129.3614929520866,1137.6408194825367,1698.2863725313853,78807.66401545325,17044.13686263004,183.2000325055498,8.303685521476154,0.7032250934834947
Lactating,11,P_cost,1337.1716625063546,5.793621732556452,1325.6766968477752,1348.6125192831335,4101.408880796802,17.77035237296727,4066.151213020487,4136.50058435583,1414.2789244126902,6.127707714816301,1402.121107938099,1426.3795118468379,78807.66401545325,17044.13686263004,0,8.297744472549702,0.03595199782895165
Lactating,11,Es,1336.259705757639,101.45648174336036,1097.2255107564492,1572.8477567765162,4098.611702533935,311.19004904476077,3365.4395918159994,4824.280934650659,1413.3143801841156,107.30691346371061,1160.4964109710343,1663.5451498795376,78807.66401545325,17044.13686263004,0,8.292085375604232,0.6295825616079472
Lactating,11,GERcalf,1337.1755579628482,1.3569188399194918,1336.2797158087944,1339.522601066707,4101.420829045711,4.161977954374688,4098.673077900925,4108.619742767631,1414.2830444985211,1.4351648118533553,1413.3355441037672,1416.7654285405624,78807.66401545325,17044.13686263004,0,8.297768645588583,0.008420284485042224
Lactating,11,E_FnU,1339.451732748751,56.93377195481508,1249.6439837819787,1437.6434136149994,4108.402373557094,174.62879633199583,3832.941630927918,4409.578537558612,1416.6904736403771,60.21682632137788,1321.7040106647994,1520.544323296073,78807.66401545325,17044.13686263004,0,8.311893321782275,0.3532993592266072
Lactating,12,all,1365.6173858298994,123.30573630322722,1097.2246823026144,1635.2664457108376,4188.6583683017925,378.2066701737641,3365.4370507601197,5015.733215835762,1444.670958133633,132.29025659779717,1159.7536054249742,1733.036388445661,78807.66401545325,17532.564883176387,174.52513608280748,8.2358631958271,0.703422983604975
Lactating,12,P_cost,1364.222761397158,4.976770882405952,1354.3515624075535,1374.0497617151323,4184.380738739182,15.264885479648509,4154.103531754261,4214.522378369945,1442.889909910063,5.2637536136719,1432.4494937083657,1453.2835787482568,78807.66401545325,17532.564883176387,0,8.229770826598267,0.030022724277625853
Lactating,12,Es,1363.2800744112524,104.56791287731608,1117.152569633576,1607.0800474694804,4181.489303866447,320.7335142875661,3426.5604026576066,4929.279137196306,1441.892863402223,110.59776354743659,1181.5725526405538,1699.7514266194155,78807.66401545325,17532.564883176387,0,8.224084000315385,0.6308133709150691
Lactating,12,GERcalf,1364.2260861717264,1.2926553139353023,1363.3635190004547,1366.4614441049173,4184.390936577145,3.964867139381359,4181.745247354337,4191.247286540293,1442.8934264059121,1.3671955653039458,1441.9811197773577,1445.2576850138944,78807.66401545325,17532.564883176387,0,8.2297908835373,0.007798035110173311
Lactating,12,E_FnU,1366.5483175827392,58.083636231029764,1274.9338429324766,1466.7727665115847,4191.513747207561,178.15569096072156,3910.5113669777647,4498.9248720733485,1445.3495680026074,61.432996883007434,1348.452195509574,1551.3534041632236,78807.66401545325,17532.564883176387,0,8.24379990967273,0.35039366625676266
Lactating,13,all,1388.5633533588205,125.61043667776467,1115.185530131682,1663.110209989329,4259.03885694092,385.27570913768153,3420.527046202218,5101.136358370629,1468.9450690929068,134.75420326251714,1178.085332315769,1762.7625852928547,78807.66401545325,17947.517365664335,166.80924759635985,8.180864237157666,0.7035021476629525
Lactating,13,P_cost,1387.1553558441126,4.263507615088839,1378.712327071894,1395.5639085195032,4254.72020910169,13.077145205944756,4228.823524212111,4280.511147979988,1467.144899690238,4.5093604158430205,1458.2150083490042,1476.0383268896514,78807.66401545325,17947.517365664335,0,8.174639811169955,0.025125260078978636
Lactating,13,Es,1386.1864657752328,107.19779615715859,1134.1067452176421,1635.5582147041353,4251.748403428235,328.79996300304947,3478.562705919659,5016.628137537894,1466.1201391131845,113.37929758725845,1199.5043813516065,1729.871771564791,78807.66401545325,17947.517365664335,0,8.168930048888216,0.6317269139639674
Lactating,13,GERcalf,1387.1581815162338,1.2266986385371292,1386.3304338567375,1389.2789039430495,4254.7288760792035,3.762563050975121,4252.189986199236,4261.233612934563,1467.1478883031739,1.2974355348190552,1466.2724090342194,1469.3909010119185,78807.66401545325,17947.517365664335,0,8.174656463127299,0.007229052956935597
Lactating,13,E_FnU,1389.519458743961,59.05833284710973,1296.3451218058194,1491.4304381141055,4261.97144908862,181.1453066318912,3976.1846173035638,4574.555545476038,1469.645327271938,62.46389883858318,1371.0981438977806,1577.432946715875,78807.66401545325,17947.517365664335,0,8.18857169673806,0.34803643069923307
Lactating,14,all,1408.0038958232026,127.57721959103806,1130.3558423461334,1687.274348284702,4318.667411558563,391.30827857755366,3467.0578357675518,5175.253253142153,1489.5108631698413,136.85662908967905,1194.1783836538284,1787.6006439082432,78807.66401545325,18299.027763530143,160.90657005983712,8.13623080567352,0.7034406568749463
Lactating,14,P_cost,1406.5846151085286,3.6505157312484777,1399.3698380684875,1413.7926941298308,4314.3141555849825,11.196960016014236,4292.1847974369575,4336.422969389818,1487.6945364086148,3.8610206951773223,1480.0637232541235,1495.3182653068338,78807.66401545325,18299.027763530143,0,8.129910264268691,0.02109959471656911
Lactating,14,Es,1405.59346247307,109.45000837860226,1148.3961406315452,1659.912909456853,4311.27406556866,335.7080088923515,3522.391523785833,5091.329512199592,1486.6462295064346,115.76138237667293,1214.6177668227012,1755.6308662757212,78807.66401545325,18299.027763530143,0,8.124181506895749,0.632609469052693
Lactating,14,GERcalf,1406.5870069082046,1.1791517086410213,1405.783960959488,1408.6250302869557,4314.321491777266,3.6167258290253566,4311.85836764885,4320.572571888562,1487.6970661300918,1.247146837594928,1486.847712982362,1489.852610996056,78807.66401545325,18299.027763530143,0,8.129924088617775,0.006815372126383718
Lactating,14,E_FnU,1408.9813641022195,59.884370132929405,1314.47830505826,1512.3416560746045,4321.665528548824,183.67895040772467,4031.803204590462,4638.694995522947,1490.229492603043,63.33756910611195,1390.2769671001595,1599.5499984561884,78807.66401545325,18299.027763530143,0,8.143763219885713,0.34612532384011874
Lactating,15,all,1424.4649638193544,129.2501813992628,1143.1744727435146,1707.7732307310407,4369.157241966927,396.43963202294896,3506.3754836250664,5238.127976612016,1506.9247300739314,138.64484625005196,1207.752520755987,1808.6647195317394,78807.66401545325,18596.10321716741,158.57142390932756,8.099953440941613,0.7027438252838747
Lactating,15,P_cost,1423.0361437549122,3.1286957597035827,1416.876124927512,1429.2567214489861,4364.774726643219,9.59641976715805,4345.880551248251,4383.8546498225205,1505.0947333252477,3.309110264537258,1498.5795004304316,1511.6740171801798,78807.66401545325,18596.10321716741,0,8.093602814248664,0.01779464345778841
Lactating,15,Es,1422.0261158430437,111.37107419231988,1160.4502294190877,1680.704632741127,4361.676741871521,341.6003536150988,3559.364149058546,5155.10244496228,1504.0264627143176,117.79322538451683,1227.3669479512228,1777.621532745614,78807.66401545325,18596.10321716741,0,8.087858220349315,0.6334296169950991
Lactating,15,GERcalf,1423.0381607180038,1.1444300852591855,1422.2528431381465,1425.0157475961983,4364.78091312665,3.510226732097419,4362.372165927928,4370.846620778255,1505.0968665953967,1.2104230110681162,1504.2662641130787,1507.1884899235363,78807.66401545325,18596.10321716741,0,8.093614285846364,0.0065090142646159355
Lactating,15,E_FnU,1425.4605274049459,60.583952790609864,1329.8550213882602,1530.06055857155,4372.210861368111,185.8247291476689,4078.96708240937,4693.042889736267,1507.658917713142,64.077492809541,1406.5403732446102,1618.2906516331955,78807.66401545325,18596.10321716741,0,8.107391640638523,0.34457483947704937
