phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,8,all,1428.5769126680957,134.59548579453735,1133.9759730548271,1724.470442181906,3697.493185729189,348.364786762332,2934.996636141906,4463.335262117875,1275.2687566961126,121.7303777717992,1010.7180385235215,1542.559801465032,71821.90167001274,2316.8662347514623,17039.538012401998,15846.105621469953,201.9611107117953,8.042750811693562,0.7057591611453382
Pregnant,8,Hg,1427.2153809381023,7.545852889548218,1412.6144764840235,1442.328963375993,3693.969221251559,19.53044277294833,3656.1786450174727,3733.0867287378637,1273.7824900867445,6.7346354389477,1260.7512569025766,1287.2712857716772,71821.90167001274,2316.8662347514623,17045.4799528212,15846.244948154845,0,8.038386975931893,0.0424998822180386
Pregnant,8,P_nb,1427.1651643728783,2.983354719063747,1421.7462455482912,1433.3765336142953,3693.839248965097,7.721623978753226,3679.813812007342,3709.915734060528,1273.73767205693,2.6626289581907665,1268.9013144852904,1279.2812876070786,71801.32207843156,0,17050.17082229927,15846.244948154845,0,8.038104145330944,0.016802901677351684
Pregnant,8,P_cost,1427.1498109842762,1.9114445284348551,1424.6986083643774,1431.1690278122387,3693.7995107828324,4.947268191243158,3687.4552216489765,3704.202189631677,1273.7239692354594,1.7059545487045378,1271.5362833272334,1277.311099872992,71801.32207843156,0,17045.4799528212,15846.244948154845,0,8.03801767171202,0.010765670695398294
Pregnant,8,Es,1426.0861424931243,118.65761663819717,1147.3588016344952,1702.5026840718908,3691.0464864527926,307.11383129886326,2969.6345454069283,4406.477535244893,1272.774650500963,105.90132113753906,1024.0119122092856,1519.4750121534114,71801.32207843156,0,17045.4799528212,15846.244948154845,0,8.032026859771383,0.6683054659575379
Pregnant,8,E_FnU,1429.579635450016,60.77213476409612,1333.7587337059056,1534.401739380581,3700.088468223571,157.2925840953076,3452.081428415285,3971.3927372203275,1275.8925752495072,54.23882210183021,1190.3729063500982,1369.4457714552852,71801.32207843156,0,17045.4799528212,15846.244948154845,0,8.051702970791663,0.3422818609663474
Pregnant,9,all,1480.3975428601705,141.60663527470055,1168.9155193797853,1792.6510920274773,3831.617169755735,366.511291299225,3025.4284031006205,4639.8028264240575,1321.5283436678733,128.0240705482171,1042.9903156230118,1603.3482566370885,71821.90167001274,2316.8662347514623,17039.538012401998,16645.410300566087,198.7052251849378,7.9344207043194155,0.7109733101787724
Pregnant,9,Hg,1479.010499542857,7.540985544591626,1464.4089342719226,1494.1188242656835,3828.027175287394,19.51784493894303,3790.2348887037997,3867.131074570004,1320.0093707887568,6.730291358256215,1306.9775478288964,1333.4934739896564,71821.90167001274,2316.8662347514623,17045.4799528212,16645.547381116885,0,7.93010491373932,0.04043298309247086
Pregnant,9,P_nb,1478.960282977633,2.9713508057369773,1473.5565928336673,1485.1363864393004,3827.897203000932,7.690555026613348,3813.911181451845,3843.882411960542,1319.964552758942,2.6519155264183962,1315.141786707533,1325.4766937794973,71801.32207843156,0,17050.17082229927,16645.547381116885,0,7.929835664379185,0.015931681101859066
Pregnant,9,P_cost,1478.9449989800432,1.8556266286576972,1476.6924029742306,1482.8009031062247,3827.8576444189353,4.802798332996397,3822.027395933302,3837.8376315690525,1319.9509118685983,1.6561373562056543,1317.9404813563112,1323.3922867479491,71801.32207843156,0,17045.4799528212,16645.547381116885,0,7.929753715194629,0.009949431630493668
Pregnant,9,Es,1477.8176062977293,125.45012725778983,1183.0969560941337,1769.6827342193083,3824.9396868882404,324.69444702016193,3062.133298125993,4580.355312097033,1318.9447196166348,111.96360242074549,1055.908033836549,1579.4328662403561,71801.32207843156,0,17045.4799528212,16645.547381116885,0,7.923708901954631,0.6726339474288465
Pregnant,9,E_FnU,1481.4629295885845,62.97555550869094,1382.1138272934872,1590.0557778394584,3834.374641288101,162.99555543425888,3577.235788289026,4115.438483819775,1322.1981521683108,56.205363942847896,1233.5295821686298,1419.1167185585432,71801.32207843156,0,17045.4799528212,16645.547381116885,0,7.9432542643100135,0.33766005200050453
Pregnant,10,all,1524.804292200309,147.7315625530726,1199.9028745554617,1850.4704013516237,3946.5522856949174,382.3640442550114,3105.6309694376664,4789.4528034983205,1361.1696708663162,133.52100263414826,1070.0503088642176,1655.4234849354896,71821.90167001274,2316.8662347514623,17039.538012401998,17333.50730889937,192.03976349090024,7.8481930788434635,0.7164987297084644
Pregnant,10,Hg,1523.3959792324565,7.533077195938183,1508.8093006506474,1538.464610553055,3942.907240366358,19.49737627184,3905.15348403697,3981.908403784377,1359.6231863332268,6.7232331971862065,1346.6046496679205,1373.0718633739234,71821.90167001274,2316.8662347514623,17045.4799528212,17333.639791155583,0,7.843841240008743,0.03878719806221373
Pregnant,10,P_nb,1523.3457626672325,2.9517442503176032,1517.9611938239018,1529.4771311739275,3942.7772680798957,7.6398086478808525,3928.8407369559804,3958.6466924501656,1359.5783683034124,2.6344167751313288,1354.7726679158554,1365.0505836035054,71801.32207843156,0,17050.17082229927,17333.639791155583,0,7.8435826790235454,0.015198289608369091
